|HallowQuests||||
UnderVela43|И, кроме того, любой сможет уйти. Если они захотят растворить свою сущность в Пустоте, вместе с их мысленным взором, они смогут это сделать. ||||
UnderVela44|<<Она усмехается.>> Полагаю, мы скоро это узнаем. ||||
UnderVela45|Очень скоро я пробужу Ангела. Не из жадности или эгоизма, а ради ((блага)) Небесных Земель и их людей. ||||
UnderVela46|<<Вела смотрит на тебя с новой яростью.>> Как ((смеешь)) ты упоминать ее имя! Ты ((ничего)) не знаешь о ее душе — о моей ((семье)).||||
UnderVela47|Изабет была... она значила для меня больше, чем... ##<<Вела закрывает глаза на долгий момент.>> ||||
UnderVela48|Изабет и моя мать ((сгорели заживо)) в особняке моего отца. То, что Изабет забрали так рано, а я осталась жить, ясно говорит о несправедливости этого мира. Разве я ((не права)), желая это изменить? ||||
UnderVela49|<<Вела запинается, спотыкаясь на словах.>> ##Каэр... ((предала)) меня. Я... я отдала бы свою ((жизнь)) за эту девочку, но она... Она... ||||
UnderVela50|%% Я... они... ((предатели)), все! Если бы они только ((послушали)), вместо того, чтобы... вместо того, чтобы... ##Я не ((хотела)) их смерти! ||||
UnderVela51|&& Пф. Эти ((предатели)) могли уйти сами. У них не было причин ((сражаться)) со мной — я уверена, что отпустила бы их с миром. ||||
UnderVela52|<<Лицо Велы пылает внезапным презрением.>> ##Тогда тебе следовало держать рот ((закрытым)). Как бы ты это ни узнал, мне не нравится, что ты копаешься в моем прошлом, как гадалка в требухе.||||
UnderVela53|<<Вела хмурится.>> ((Призрак))? Но кто знает о...? Нет, это не может быть...||||
UnderVela54|...((Каэр?)) ##<<Она сглатывает, теряя дар речи.>> ##Тогда она, должно быть, рассказала тебе о... ||||
UnderVela55|<<Она смеется.>> О нет, маленький инквизитор. Это только ((начало)).||||
UnderVela56|<<Она усмехается.>> Это либо самое очевидное прикрытие Инквизиции, которое я когда-либо слышала, либо необычайно искусный тройной блеф. Ничего личного, но я не могу рисковать, позволив тебе следовать за мной.||||
UnderVela57|<<Вела сглатывает, пытаясь найти самообладание.>> Я признаю, мои мотивы сложны. И мои методы... ||||
UnderVela57a|<<Она дает тебе искривленную, почти сожалеющую улыбку.>> ##Если бы я сделала это ради менее значимой цели, я была бы чудовищем.||||
UnderVela58|<<Вела кричит своей команде.>> ##((Пробудите Ангела!)) Мне ((все равно)), если подготовка не завершена, у нас ((закончилось время!)) ||||
UnderVela59|<<Ее глаза возвращаются к тебе.>> ##Мне очень жаль. Я бы хотела, чтобы был другой способ, но его нет.||||
UnderVela60|Следующие дни решающие. Теперь, когда он пробужден, нам нужно провести множество деликатных ритуалов и шифровальных заклинаний, и тебе нельзя позволять вмешиваться в такое ((важное)) дело.||||
UnderVela61|Так что, боюсь, это прощание. Мы ((не)) встретимся снова.||||
UnderVela62a|<<Сзади ты слышишь, как Джек Базальт кричит изо всех сил.>> ##Вела, ((нет))!||||
UnderVela62b|<<Сзади ты слышишь, как Джек Базальт кричит изо всех сил.>>||||
UnderVela62c|Вела, ((нет))!||||
UnderVelaP1|Вела Каллос! ||||
UnderVelaP2|<<[Попытаться подойти тихо.]>>||||
UnderVelaP3|Вела Каллос, я пришел, чтобы -||||
UnderVelaP4|По приказу Инквизиции, я -||||
UnderVelaP5|<<[Замри и ничего не говори.]>>||||
UnderVelaP6|Мы пришли положить конец этому, Вела. Ты должна ((остановить)) это безумие!||||
UnderVelaP7|Твои старые друзья помогли мне добраться сюда, но я пришел, чтобы присоединиться к твоему делу.||||
UnderVelaP8|Меня волнует только моя свобода. Если мне придется отрубить тебе голову, пусть будет так. ||||
UnderVelaP9|Что ((это)) за штука?||||
UnderVelaP10|Как она так сильна?||||
UnderVelaP11|Что ты планируешь с ней делать?||||
UnderVelaP12|Пробудить ее кажется ((ужасной)) идеей.||||
UnderVelaP13|Ты можешь спровоцировать второй апокалипсис и уничтожить то, что осталось от нашего мира.||||
UnderVelaP14|С самыми лучшими намерениями ты создашь лишь тиранию собственного изобретения.||||
UnderVelaP15|Я думаю, ты права; справедливый и честный мир стоит риска. ||||
UnderVelaP16|Так ты рискуешь вызвать еще один Мировой Разлом, только чтобы накормить бедных? ||||
UnderVelaP17|Ты не можешь изменить человеческую природу.||||
UnderVelaP18|<<[Ничего не говори и слушай.]>>||||
UnderVelaP19|Звучит как безумие. Даже если это сработает, ((все)) изменится.||||
UnderVelaP20|Ты отнимаешь у нас свободу — бороться за что-то, даже ((умереть)).||||
UnderVelaP21|Восхитительная мечта, но возможно ли это? ||||
UnderVelaP22|А как насчет твоей покойной сестры, Изабет? Ты уверена, что делаешь это не ради ((нее))? ||||
UnderVelaP23|Я встретил одного призрака, который сказал мне, что твои мотивы более... ((личные)). ||||
UnderVelaP24|Твои амбиции погубят нас всех. Это кончается ((сейчас)), Вела. ||||
UnderVelaP25|Я хочу помочь тебе, чем смогу. ||||
UnderVelaP26|А как насчет тех, кто пострадал ради твоего видения? Людей вроде Каэр, которых ты оставила ((умирать))? ||||
UnderVelaP27|@@ Ты не говоришь за всех. Многие против тебя, даже твои бывшие Темные Звезды. ||||
UnderVelaP28|Я не хотел обидеть, Вела. ||||
UnderVelaP29|Это была Каэр.||||
UnderVelaP30|((Кто)) бы это ни был, они рассказали мне о твоей покойной сестре, Изабет. ||||
UnderVelaP31|Изабет, да. ||||
UnderVelaP32|Забудь, Вела. Я не хотел обидеть. ||||
CradleBasaltA1|Ну, вот и все. Последний отчаянный рывок в водоворот Велы, а? Только на этот раз, боюсь, второго шанса не будет.||||
CradleBasaltA2|<<Он бросает на тебя серьезный взгляд.>> Неважно, сколько раз твой бог может вернуть тебя с того света. Если Вела активирует это ((чудовище)), все кончено. ##Если мы не остановим ее, Вела либо будет править миром, либо уничтожит его.||||
CradleBasaltA3|((Черт)) побери эту девчонку, за то, что она довела до этого. Она могла бы сделать великие вещи, знаешь? Ее имя могло бы войти в историю как спасителя, а не ((тирана))... ||||
CradleBasaltA4|Катер готов к отправке, Исповедник. Может, ты захочешь проверить, как держатся остальные члены команды... но в остальном, [[используй управление]], когда будешь готов. ||||
CradleBasaltA4b|Ну, в любом случае. Катер готов к отправке. Может, ты захочешь проверить, как держатся остальные члены команды... но в остальном, [[используй управление]], когда будешь готов. ||||
CradleBasaltA5|Просто убедись, что ты ((действительно)) готов, а? Штурмовать Колыбель — нелегкая задача — это может быть [[((последнее)), что мы когда-либо сделаем]]. ||||
CradleBasaltA6|Это место — крепость, слишком рискованно для лобовой атаки. Но если Герцогиня сможет отвлечь окружение Велы своей магией, у остальных из вас может быть шанс.||||
CradleBasaltA7|Фрост думает, что нашел [[черный ход]]: какую-то [[техническую трубу]], которую можно взломать, чтобы ты и Орлайт смогли проникнуть внутрь. ||||
CradleBasaltA8|Затем Орлайт направится прямо к Веле и попытается занять ее. ##А что до тебя? [[Найди этого Ангела]] любой ценой. ||||
CradleBasaltA9|Затем, если все пойдет по плану, мы встретимся в центре Колыбели и вышвырнем этого Ангела обратно в Пустоту. Легко, а? ||||
CradleBasaltAP1|Каков план, когда мы доберемся до Колыбели? ||||
CradleBasaltAP2|Я пойду. ||||
CradleEmberianA1R|Я готова отправиться, когда ты будешь готов, Исповедник. Чем скорее, тем лучше, по-моему.||||
CradleEmberianA1|<<Орлайт выглядит взволнованной, ерзая в своей броне.>> ##Знаешь, я сталкивалась с невозможными шансами раньше. Всегда побеждала. Так почему я чувствую себя так, черт возьми, ((нервно))?||||
CradleEmberianA2|<<Она смотрит на свою руку; она слегка дрожит. Она сжимает ее в кулак.>> ##Наверное, я всегда восхищалась Велой. Она спасала меня больше раз, чем я могу сосчитать — так что, хотя я ((знаю)), что поступаю правильно, мой желудок все равно сводит.||||
CradleEmberianA3|<<Она смотрит на тебя.>> Слушай, Исповедник... ##Когда мы встретились, ты сказал, что мы закончим то, что я начала — мятеж против Велы — и остановим ее, прежде чем она совершит немыслимое. ||||
CradleEmberianA4|Ты все еще придерживаешься этого? Ты действительно думаешь, что мы ((сможем)) это сделать?||||
CradleEmberianA5|<<Она кивает.>> Я ценю твою уверенность во мне, Исповедник.||||
CradleEmberianA6|<<Она кивает.>> Возможно, это не то, что я ((надеялась)) услышать, но... думаю, ты прав. ||||
CradleEmberianA7|<<Она смотрит на тебя с укором.>> С уважением — что за ((черт)), Исповедник? ||||
CradleEmberianA8|Боги знают, Вела может быть убедительной. Я слышала этот ее серебряный язык тысячу раз. Но у нас была ((договоренность)), Исповедник! Я пошла за тобой так далеко, потому что хочу ((остановить)) Велу, а не помочь уничтожить ((мир)). ||||
CradleEmberianA9|<<Она усмехается.>> Ну, если ты не поможешь, я сделаю это ((одна)). Как только мы доберемся до Колыбели, я отправлюсь на поиски Велы — с тобой или ((без)). ||||
CradleEmberianA10|Слушай, Исповедник... ##Когда мы встретились, ты сказал, что остановим Велу без кровопролития. Думаю, мы можем с уверенностью сказать, что мы ((пытались)) и ((потерпели неудачу)) в этом, а?||||
CradleEmberianA11|Так что на этот раз я не задаю вопросов; я позволю своему ((мечу)) говорить. Тебе лучше быть ((готовым)) к этому. ||||
CradleEmberianA12|<<Она усмехается.>> Я слышу жажду ((мести)) в твоем тоне, Исповедник? Она ((действительно)) хорошо тебя проткнула, тогда... ||||
CradleEmberianA13|<<Она вздыхает.>> Это не так просто. Как только мечи начинают скрещиваться, это жизнь или смерть. Но... я отдам все, что у меня есть.||||
CradleEmberianA14|Слушай, Исповедник... ##Когда мы встретились, ты сказал, что хочешь ((помочь)) Веле достичь ее извращенного представления о Рае. После разговора с ней — после того, как ты увидел, во что она ((превратилась)) — ты все еще так думаешь? ||||
CradleEmberianA15|<<Она усмехается.>> После того, как она проткнула тебя мечом, я думала, ты передумаешь. ((Черт)) побери Велу и ее серебряный язык. ||||
CradleEmberianA16|Ну, если ты не поможешь, я сделаю это ((одна)). Как только мы доберемся до Колыбели, я отправлюсь на поиски Велы — с тобой или ((без)). ||||
CradleEmberianA17|<<Она слегка улыбается.>> Я рада, что ты передумал, Исповедник. Что изменило твое мнение? То, что тебя проткнули ((мечом)) Велы, возможно? ||||
CradleEmberianA18|В любом случае, я рада, что ты поддерживаешь меня. Я думала, что мне придется столкнуться с Велой ((одной)), а это нелегкая перспектива. ||||
CradleEmberianA19|<<Она слегка улыбается.>> Если что-то и могло изменить твое мнение, так это ((это))...||||
CradleEmberianA20|В любом случае, я рада, что ты поддерживаешь меня. Я думала, что мне придется столкнуться с Велой ((одной)), а это нелегкая перспектива. ||||
CradleEmberianA21|<<Орлайт молчит некоторое время.>> ##Знаешь... я никогда не чувствовала, что принадлежу где-либо. Родиться из стеклянной трубки делает это с тобой. ||||
CradleEmberianA22|Даже те первые несколько лет с Велой, когда мы думали, что действительно меняем что-то — это все равно была ((мечта Велы)), понимаешь?||||
CradleEmberianA23|Но теперь... я думаю, я наконец знаю, в чем мое предназначение. ((Остановить)) зло моих предков, чтобы оно никогда не повторилось. <<Она кривит уголок рта.>> Или умереть, пытаясь. ||||
CradleEmberianA24|К лучшему или к худшему, это благодаря ((тебе)), Исповедник. Так что, думаю, я просто хотела сказать... спасибо. ||||
CradleEmberianA25|<<Она улыбается тебе тепло.>> ||||
CradleEmberianA26|<<Она усмехается.>> Конечно. ||||
CradleEmberianAP1|Я ((видела)), как ты сражаешься. У Велы нет шансов. ||||
CradleEmberianAP2|Я не знаю, но все, что мы можем сделать, — это стараться изо всех сил. ||||
CradleEmberianAP3|Вела убедила меня; я хочу воплотить ее Рай в реальность. ||||
CradleEmberianAP4|Ты права; время для разговоров прошло. Делай свое худшее. ||||
CradleEmberianAP5|Просто постарайся не ((убить)) ее, ладно? ||||
CradleEmberianAP6|Смена планов. Я хочу воплотить ее Рай в реальность. ||||
CradleEmberianAP7|Да, я хочу увидеть, как ее Рай станет реальностью.||||
CradleEmberianAP8|Нет, мы должны попытаться остановить ее.||||
CradleEmberianAP9|Эта сука проткнула меня! Она не покинет Колыбель живой. ||||
CradleEmberianAP10|Мне было приятно, Орлайт.||||
CradleEmberianAP11|Нам просто нужны твои навыки владения мечом, вот и все.||||
CradleFrostA1R|Это было удовольствием, Исповедник. Увидимся на сцене. ||||
CradleFrostA1|<<Фрост потягивает из чашки чая, которую он поднимает в знак приветствия при твоем приближении.>> ##Ах, Исповедник! Рад тебя видеть.||||
CradleFrostA2|Итак, вот мы и здесь. Антракт почти закончен. Занавес скоро откроется. Все готово для финального акта. ##Будем надеяться, что я помню свои реплики.||||
CradleFrostA3a|<<Он потягивает чай.>> О, конечно, я ((напуган)) до чертиков. Это противостояние, от которого я бежал все это время. ((Это)) то, от чего я стал Горацием, чтобы избежать.||||
CradleFrostA3b|<<Он потягивает чай.>> Тем не менее, небольшое волнение перед выступлением — это естественно. Это противостояние, от которого я бежал все это время. ((Это)) то, от чего я стал Горацием, чтобы избежать.||||
CradleFrostA4|И все же я нахожу, что страх менее... ((острый)), чем раньше. Это успокаивает, как-то, наконец идти ((навстречу)) своим проблемам с твердой решимостью. ##<<Он фыркает.>> Забавно, как долго мы сопротивляемся самым простым урокам.||||
CradleFrostA5|Исповедник, ты помнишь нашу первую встречу? В последнее время я часто возвращаюсь к ней в своих мыслях. ##Тогда ты утверждал, что мы должны использовать силу Ангела, чтобы построить лучший мир. ||||
CradleFrostA6|Я сомневался, конечно. Я едва доверял себе выбрать занавески, не говоря уже о судьбе человечества. ||||
CradleFrostA7|Но... ##<<Он вздыхает, затем смотрит тебе в глаза.>> Я пришел к выводу, что ты был прав, а я ошибался.||||
CradleFrostA8|Исповедник, ты помнишь нашу первую встречу? В последнее время я часто возвращаюсь к ней в своих мыслях. ##Тогда ты убедил меня, что мы должны уничтожить Ангела, чтобы он не уничтожил мир. ||||
CradleFrostA9|Это было так ((освобождающе)) — согласиться с тобой. Наконец сбросить бремя своих мечтаний и отпустить все те годы, которые я пожертвовал ради невозможного обещания моей родины.||||
CradleFrostA10|Но... ##<<Он вздыхает, затем смотрит тебе в глаза.>> Я пришел к выводу, что мы оба ошибались.||||
CradleFrostA11|Исповедник, ты помнишь нашу первую встречу? В последнее время я часто возвращаюсь к ней в своих мыслях. ##Тогда ты убедил меня, что обещание Ангела — это мираж; что лучший мир можно построить только кирпичик за кирпичиком.||||
CradleFrostA12|Это были мудрые слова. Темные Звезды могли бы улучшить ((столько)) жизней всей силой и богатством, что мы получили. Если бы мы проделали тяжелую работу и приняли трудные решения. Вместо этого мы выбрали легкий путь, следуя за нашим лидером в погибель ради награды, которая могла бы оправдать любое преступление.||||
CradleFrostA13|Но... ##<<Он глубоко вздыхает и смотрит тебе в глаза.>> Теперь все по-другому. Разве ты не видишь? Колыбель поднялась. Дверь стабильности сорвана с ((чертовых)) петель. ||||
CradleFrostA14|Все, что Королевство Механизмов когда-либо пыталось сделать, было детской забавой по сравнению с Ангелом. Это ((оно)); настоящая вещь. И теперь, когда мы на краю... я не могу отвернуться.||||
CradleFrostA15|Это все вина Горация, боюсь. Его видения были такими хорошими, потому что у него все еще была надежда. Надежда, что каждый человек может быть спасен; что любовь действительно сильнее отчаяния.||||
CradleFrostA16|Когда ты пробудил мое старое "я", эта надежда не умерла. Она осталась со мной, заразительная, смешанная со всем, что я видел и делал.||||
CradleFrostA17a|<<Фрост улыбается с сожалением.>> Так что видишь, я должен верить, что Гораций не ошибался, надеясь. ##Я имею в виду буквально: у меня нет выбора, кроме как верить. Ради Сэма, моей семьи и всех, кого я когда-либо любил.||||
CradleFrostA17b|<<Фрост улыбается с сожалением.>> Так что видишь, я должен верить, что Гораций не ошибался, надеясь. ##Я имею в виду буквально: у меня нет выбора, кроме как верить.||||
CradleFrostA18|<<Улыбка Фроста расширяется.>> Ты серьезно? ##Хорошо, тогда. Давай займем свои места для выступления всей жизни.||||
CradleFrostA19|<<Фрост смотрит на тебя некоторое время, затем кивает, его выражение удивительно спокойное.>> ##Хорошо. Если этот финальный акт сделает нас врагами, давай сыграем свои роли с энтузиазмом.||||
CradleFrostA20|<<Фрост смеется.>> Освежающе честно, Исповедник. Хорошо; ты импровизируешь, а я буду реагировать. Если окажется, что мы играем врагов, давай сыграем свои роли с энтузиазмом.||||
CradleFrostA21|<<Он вздыхает.>> Я буду ((чертовски)) сожалеть обо всем этом, не так ли?||||
CradleFrostAP1|Как ты себя чувствуешь?||||
CradleFrostAP2|Ты справишься, Фрост. В конце концов, мы много репетировали.||||
CradleFrostAP3|Если ты говоришь, что хочешь активировать Ангела, я с тобой.||||
CradleFrostAP4|Мне жаль, Фрост. Я не позволю тебе активировать Ангела.||||
CradleFrostAP5|Честно говоря, я не знаю, что буду делать, когда доберемся до Ангела.||||
CradleDuchessA1|С тех пор, как мы его увидели, я думаю о том Ангеле. ## Я давно читала о таких зловещих существах, дрейфующих в Пустоте за пределами реальности; но до сих пор они были полностью ((теоретическими)).||||
CradleDuchessA2|Но увидеть такое существо в ((плоти?)) Я могла ((чувствовать)) его... несоответствие, его огромное противоречие, как заноза в мозгу. С чем-то настолько чуждым этому миру, возможно, Вела действительно ((может)) изменить реальность по своей воле...||||
CradleDuchessA2b|<<Герцогиня играет с кинжалом Пустоты, наблюдая, как он скользит по воздуху.>> ##О, Исповедник. Прошу прощения, я была погружена в мысли...||||
CradleDuchessA2c|Это ((Ангел)). Я давно читала о таких существах, дрейфующих в Пустоте за пределами реальности; но до сих пор они были полностью ((теоретическими)). При всей сложности нашего шифровального искусства, мы имеем лишь самое поверхностное понимание Пустоты.||||
CradleDuchessA2d|Но увидеть такое существо в ((плоти?)) Я могла ((чувствовать)) его... несоответствие, его огромное противоречие, как заноза в мозгу. Ни одна его часть никогда не должна была пересекаться с этим миром.||||
CradleDuchessA2e|То, что Вела смогла заполучить это существо, весьма примечательно. Возможно, она действительно ((может)) достичь этого дерзкого ((Рая)) своего.||||
CradleDuchessA3|Исповедник, ты сказал мне, что Вела может даровать Вечным истинную смерть, если ее Рай восторжествует. ##Я много думала об этом в последние дни. ||||
CradleDuchessA4|Иронично, что ее поиски бессмертия могут даровать моему народу безмятежный сон, о котором многие из них мечтают. <<Она улыбается.>> Иронично, но не нежелательно. ||||
CradleDuchessA5|<<Она закрывает глаза.>> Столько лет бесцельных страданий. Столько жизней, растраченных в полужизни; неспособных чувствовать воздух в легких или ветер в волосах... ||||
CradleDuchessA6|Но... ты действительно намерен помочь Веле? Орлайт и Базальт, похоже, настроены против нее. ||||
CradleDuchessA7|Исповедник, ты сказал мне, что Вела может даровать Вечным истинное бессмертие, если ее Рай восторжествует. ##Я много думала об этом в последние дни. ||||
CradleDuchessA8|Прошло много лет с тех пор, как я чувствовала воздух в легких или ветер в волосах, или... или видела улыбку моей дочери. Думать, что это все еще возможно? ##Я пришла к осознанию, что я... хотела бы этого очень сильно.||||
CradleDuchessA9|Но... ты действительно намерен помочь Веле? Орлайт и Базальт, похоже, настроены против нее. ||||
CradleDuchessA10|Исповедник, ты сказал мне, что Велу нужно остановить, и что нам, Вечным, нужно научиться принимать свою судьбу. ##Я много думала об этом в последние дни. ||||
CradleDuchessA11|Бремя моего народа — наше, и хотя мы скорбим о своих муках, я верю, что даже из самых ужасных трагедий можно извлечь хоть немного добра. ||||
CradleDuchessA12|Идея Рая Велы может принести пользу моему народу, но я не сомневаюсь, что она нанесет огромный ущерб и разрушения всем остальным. По этой причине я помогу тебе остановить Велу, чего бы это ни стоило.||||
CradleDuchessA13|...ты ((все еще)) собираешься попытаться остановить ее, верно? ||||
CradleDuchessA14|<<Она кивает.>> Я так и думала. Это будет рискованный бой, но я сделаю все, чтобы помочь тебе. ||||
CradleDuchessA15|<<Она отводит взгляд и на мгновение замолкает.>> ##Я... понимаю. Хотя меня раздражает, что ты вселил в меня такую ложную надежду, я вижу, что на кону.||||
CradleDuchessA16|<<Она хмурится.>> Боже, ты ((действительно)) такой переменчивый, Исповедник. Я думала, что вопрос решен.||||
CradleDuchessA17|Я не стану отрицать, что будет много... ((выгод)) для Вечных, если помочь Веле в ее плане. Так что поступай, как считаешь нужным; я окажу свое шифровальное колдовство на службе делу, так или иначе. ||||
CradleDuchessA18|<<Она кивает.>> Спасибо, Исповедник. Вместе мы доведем это до конца.||||
CradleDuchessA19|Когда мы доберемся до Колыбели, я отвлеку основные силы Велы шифровальным щитом. Это даст тебе время найти другой вход.||||
CradleDuchessA20|Но что бы ни случилось, это будет опасная миссия. Я поговорила с Каэр и договорилась, что рука моей дочери будет доставлена домой, если я... встречу ((похожую)) судьбу.||||
CradleDuchessAP1|После того, как она проткнула меня своим клинком, я вряд ли ((помогу)) ей.||||
CradleDuchessAP2|Ее так называемый Рай — слишком хаотичная идея; ее нужно остановить.||||
CradleDuchessAP3|Несмотря на ее действия, я помогу ей достичь этого Рая; ради блага всех. ||||
CradleBasaltB1|Ладно, несмотря ни на что, все прошло довольно гладко, а? <<Он усмехается.>> ##Черт возьми, лучше, чем при последней посадке, по крайней мере. ||||
CradleBasaltBP1|Каков план теперь, когда мы здесь? ||||
CradleBasaltBP2|Я пойду. ||||
CradleEmberianB1|Мы на борту самого отвратительного судна, когда-либо построенного, окружены Флотом Союза; на пути к встрече с ((Велой Каллос)) и ее плененным ужасом. ||||
CradleEmberianB2|<<Она улыбается.>> Осторожно, Исповедник. Еще немного опасности, и я могу начать ((получать удовольствие)).||||
CradleDuchessB1|Я снова возвела свою [[транспозиционную палатку снабжения]]. Пожалуйста, используй ее, чтобы пополнить запасы, но не задерживайся; теперь мы должны действовать быстро. ||||
CradleDuchessB2|Приспешники Велы нападут на нас всей мощью, но я постараюсь сдерживать их как можно дольше. ##Как только мы отправимся, ты должен [[найти Фроста]] и помочь ему проникнуть внутрь. ||||
CradleFrostB1|<<Фрост в полном разгаре, словно одержимый призраком своего пиратского прошлого.>> ##Вперед, дамы! Никаких проволочек, никаких задержек и никакого ((балдения))! Последний, кто доберется до [[вентиляционной трубы]], должен всем Лунделезский завтрак!||||
CradleFrostB2|<<Он бросает на тебя взгляд, оскаливаясь в яростной улыбке.>> ##Шоу начинается, Исповедник. Ни пуха ни пера. ||||
CradleBasaltC1|Остальные на позициях, Исповедник — чего ты ждешь? Найди [[Какстона Фроста]] и помоги ему проникнуть внутрь Колыбели. ||||
CradleEmberianC1|Что задерживает [[Фроста]]? Нам нужно [[открыть эту штуку ((побыстрее))]], или все кончено!||||
CradleDuchessC1|<<Герцогиня явно напрягается, поддерживая свое мощное шифровальное заклинание.>> ##Не... беспокойся обо ((мне))... Исповедник! Я сталкивалась с худшими шансами... чем ((эти)).||||
CradleDuchessC2|Просто найди [[Фроста]]... и проникни ((внутрь)) этой штуки! ||||
CradleFrostC1|<<Фрост снова возится со своим ручным устройством для взлома дверей, но на этот раз он явно в стрессе.>> ##Исповедник! Ты прибыл в самый подходящий момент. ((Черт)) побери этих упрямых Эмберианцев!||||
CradleFrostC2|Я пытаюсь остановить эту вентиляционную турбину, чтобы обеспечить наш вход, но, похоже, где-то рядом есть [[аварийный выключатель]]; скорее всего, на платформе внизу.##Там есть [[лифт]]. Найди этот выключатель, отключи его, и у тебя будет дверь. ||||
CradleFrostC3|<<Позади тебя раздается оглушительный визг наступательной магии, и вспышка синего света на мгновение отбрасывает глубокие тени на лицо Фроста. Он выглядит обеспокоенным.>> ##Быстрее, Исповедник! Давай не пропустим наш выход! ||||
CradleFrostD1R|<<Глаза Фроста плотно закрыты, и он, кажется, больше не слышит, что ты говоришь.>> ##Ангел... пожалуйста. Ты должен... нргх. Сэм? Сэм...||||
CradleFrostD1a|<<Тело Фроста лежит искалеченное среди исковерканных обломков его механической брони, его изысканная одежда пропитана кровью.>>||||
CradleFrostD1b|Ах, ((черт)).||||
CradleFrostD2|<<Фрост пытается сесть, крича с удивительной силой.>> Нет! ##<<Приступ кашля одолевает его.>>||||
CradleFrostD3|<<Он смотрит на тебя.>> Нет. Не останавливайся ради меня. Ты должен... хррфф... добраться до Велы. Прежде чем будет слишком поздно.||||
CradleFrostD4|<<Фрост слабо улыбается.>> Нет, думаю, тебе не нужен... хрфф... гений естественной философии... чтобы сказать тебе, что я... нфф. Недолго осталось.||||
CradleFrostD5|<<Фрост дает тебе слабую, но искреннюю улыбку, прежде чем закашляться кровью.>> ##Хрфф. Хех. Иди... иди к черту, Исповедник.||||
CradleFrostD6|<<Он гримасничает.>> Неплохой... финал для старого Какстона Фроста, а? Последний бой. Героическая... хррфф... гибель. Ни одного сухого... глаза... в зале. Драматично... хррфф... до конца. ||||
CradleFrostD7|Но... занавес еще не упал, а, дорогой? Если ты сможешь... построить что-то лучшее из всего этого пепла, то... нргх. Тогда это будет не напрасно. ||||
CradleFrostD8|<<Он поднимается и крепко сжимает твою руку.>> ##Пожалуйста, И-исповедник. Активируй Ангела. Сделай все это... хрррфф... стоящим.||||
CradleFrostD9|<<Он отпускает твою руку и опускается, его силы покидают его.>> ##О, и... пожалуйста, с-скажи Сэму... что мне жаль. Я действительно х-хотел... нргх... вернуться к нему.||||
CradleFrostD9b|<<Он опускается, его силы покидают его.>> ##О, и... пожалуйста, с-скажи Сэму... что мне жаль. Я действительно х-хотел... нргх... вернуться к нему.||||
CradleFrostDP1|Держись, Фрост. Я доставлю тебя обратно на катер.||||
CradleFrostDP2|Мне жаль, Фрост. Это выглядит плохо.||||
CradleFrostDP3|Ты наконец выругался. Я горжусь тобой.||||
CradleFrostDP4|Я скажу ему. Обещаю.||||
CradleFrostDP5|Ты можешь сказать ему сам.||||
CradleBasaltD1|Похоже, Фрост открыл этот [[черный ход]]. Так чего ты ((мешкаешь))? ||||
CradleBasaltD1b|Фрост, может, и выбыл, но мы не можем позволить себе медлить. Проберись внутрь этой [[трубы]] и найди [[Ангела]] — ради него!||||
CradleBasaltD1c|Герцогиня, может, и выбыла, но мы не можем позволить себе медлить. Проберись внутрь этой [[трубы]] и найди [[Ангела]] — ради нее!||||
CradleBasaltD1d|Наши товарищи, может, и выбыли, но мы не можем позволить себе медлить. Проберись внутрь этой [[трубы]] и найди [[Ангела]] — ради них!||||
CradleBasaltD2|<<Базальт смотрит на тебя, нахмурив брови.>> Исповедник...||||
CradleBasaltD3|Если он действительно погиб, ты не можешь ((думать)) об этом, пока мы не закончим здесь. Он знал, на что идет, и все равно решил прийти. Теперь держи голову ясной и возвращайся к делу.||||
CradleBasaltD3b|Если он действительно погиб, ты не можешь ((думать)) об этом, пока мы не закончим здесь. Он знал, на что идет, и все равно решил прийти. Теперь держи голову ясной и возвращайся к делу.||||
CradleBasaltD4|<<Ты слышишь, как Базальт бормочет себе под нос.>> ##Бедный парень...||||
CradleBasaltD5a|Хмф, ((Герцогиня)), сражена? Дела... должны быть действительно тяжелыми там снаружи. ||||
CradleBasaltD5b|Черт, ((Герцогиня)) тоже выбыла? Дела... должны быть действительно тяжелыми там снаружи. ||||
CradleBasaltD6|Но если кто и знает, как собрать себя воедино, так это она. Просто сосредоточься на задаче. ((Найди Велу)). ||||
CradleBasaltDP1|Фрост мертв.||||
CradleBasaltDP2|Герцогиня... в кусках.||||
CradleBasaltDP3|Я... ты прав. Я пойду.||||
CradleDuchessD1R|Не ((мешкай)), Исповедник. Найди... Велу. Найди [[Ангела]]. Это... все, что имеет значение сейчас.||||
CradleDuchessD1|<<Герцогиня была изрублена на куски; ты видишь части ее тела, разбросанные по полу, как остатки какого-то жуткого праздника.>>||||
CradleDuchessD2|<<В ответ на твой голос палец начинает дико указывать. Ты следуешь его жесту к куче телесных компонентов и вытаскиваешь челюсть изнутри.>>||||
CradleDuchessD3|Мне жаль... Исповедник. Не смогла... удержать их всех... ||||
CradleDuchessD4|Хех. Ты... принес свои иголку и нитку? Какое... приятное зрелище. ##Увы, боюсь, что... времени на такое нет.||||
CradleDuchessD5|Ты не сделаешь ничего подобного! Нет, Исповедник, ты... не должен суетиться из-за меня. Просто... нет времени.||||
