Dialogues:|Clockwork||||
nudd4|Я наемник, понимаешь. Я сражался с Серпентами Бьонна, Черной Гвардией Лунделя; и даже с ((Темными Звездами)), какое-то время. ||||
nudd5|А теперь... <<он делает глоток чая,>> я защищаю деловые интересы этого джентльмена, не более того. Так что, пожалуйста, не обращай на меня внимания. ||||
nudd6|<<Он тихо пьет чай.>> Было ли что-то еще? ||||
p352|Ты знаешь что-нибудь о... ((поклонниках богов)) здесь? ||||
nudd7|А, так старый Кулвич заставил тебя охотиться на потенциальных Викканов, да? <<Он усмехается.>>||||
nudd8|Я действительно не люблю вмешиваться в такие дела. Во что люди верят - законно или нет - не мое дело. Я не законник, в конце концов. ||||
nudd9|<<Он помешивает чай в чашке.>> Конечно, едва ли нужно говорить, что если бы я ((искал)) людей, вовлеченных в ((незаконные)) дела, я бы, вероятно, следил за тем, что происходит [[после наступления темноты]]. ##Но это было бы просто очевидным.||||
p353|Некоторые наемники угрожают Пвиллу гигантским наутилобом.||||
nudd10|<<Он коротко усмехается.>> Ты имеешь в виду эту кучку идиотов в руинах? Не заставляй меня ((смеяться)).||||
nudd11|Во-первых, они едва ли заслуживают звания наемников. Мэр наняла их, чтобы очистить лес от монстров - пустяковая задача - и шоу, которое они устроили, больше подходило для комедийной труппы, чем для профессиональных наемников. ||||
nudd12|А во-вторых, [[нет такой вещи, как гигантский наутилоб]]. По крайней мере, я плавал далеко и широко в свое время, и никогда даже не слышал о чем-то больше, чем шелкопряд. Так что идея о том, что эти болваны смогли ((поймать)) одного, абсурдна. ||||
nudd13|Я предполагаю, мэр попросила тебя разобраться с этим, хм? Ну, если бы я был на твоем месте, я бы использовал [[свою смекалку]], прежде чем обнажать меч. Я чувствую, что здесь есть какая-то хитрость.||||
p354|Это чай из скригрибов, который ты пьешь?||||
nudd14|<<Он молчит мгновение, просто делает глоток.>> ##Действительно.||||
nudd15|Скажи, старый Двинн там рассказал тебе свою историю о том, как он ((перехитрил)) своих конкурентов, выпив это?||||
p355|null||||
nudd16|null||||
nudd17|null||||
p356|Да.||||
nudd18|<<Он усмехается.>> Я так и думал. ||||
p357|Нет.||||
nudd19|<<Он усмехается.>> Ну, извини за ((испорченную)) историю. ||||
nudd20|Забавная вещь в том, что он не прикасается к этому. Это больше... тактика продаж, можно сказать. Когда он ((пьет)) чай из скригрибов, он обычно становится очень эмоциональным и... <<Он усмехается.>> ...опорожняет свои кишки раньше времени. ||||
nudd21|Видишь ли, скригриб может быть популярным наркотиком - но для большинства людей это ((все)), что он есть. Вечеринка или быстрый кайф. Правда в том, что большинство не может ((видеть будущее)) от его употребления. Гриб имеет настолько сильный психоделический эффект, что любые предчувствия теряются в фантазии.||||
nudd22|Но предчувствия ((есть)). Тебе просто нужна низкая доза и определенный... проницательный взгляд. Вот почему, если бы ты, ((скажем)), потянулся за своим мечом прямо сейчас - у меня бы был ((нож у твоего горла)), прежде чем ты бы понял. ||||
nudd23|<<Он тепло улыбается.>> Теперь, было ли что-то еще? ||||
p358|Расскажи мне о своем времени как наемника. ||||
nudd24|<<Нудд откидывает голову назад и барабанит пальцами по чашке.>> Ну, в молодости я путешествовал с различными наемными компаниями в сердце Союза Вероотступников; там есть пара историй. ##Я закончил с Темными Звездами здесь, в Пвилле; имя, которое ты, ((конечно)), слышал.||||
nudd25|Но в последнее время я работаю фрилансером на этих [[Островах Грёз]]; берусь за всевозможные работы, прежде чем осесть с Двинном, здесь. Из всех земель, где я бывал, эти острова - одни из самых странных. ||||
p359|Я ищу некоторых бывших наемников Темных Звезд. ||||
nudd26|Ну, как я уже говорил, я раньше плавал с этими ребятами - до [[мятежа]], который заставил многих из нас возмутиться необузданными амбициями Велы. ||||
nudd27|<<Он сужает глаза.>> О, ((правда?)) ##Ну, твои мотивы лучше быть чертовски ((дружелюбными)), 'потому что не секрет, что я бывший наемник Темных Звезд.||||
nudd28|Конечно, я не плавал с ними ((годами.)). Я ушел после [[мятежа]], когда стало ясно, что амбиции Велы - когда-то такие ((опьяняющие)) - скорее всего, приведут нас всех к ((гибели)). ||||
nudd29|<<Он прочищает горло.>> Ну, ((выкладывай)), тогда. Кого ((именно)) ты ищешь? ||||
p360|Я охочусь на Велу Каллос.||||
p361|Расскажи мне о Веле Каллос.||||
nudd30|<<Он смеется.>> Ах, вот это ((хорошая)) шутка. Ты просто подойдешь к самой боссу и заявишь, что хочешь получить награду Союза, да? ||||
nudd31|Теперь, не пойми меня неправильно. Я никогда ((не знал)) эту женщину - я был слишком низкого ранга, чтобы чокаться с ней кружками. Но я был свидетелем некоторых ее дел, и, ну...||||
nudd32|...скажем так, ты ((никогда)) не захочешь скрестить мечи с ((Велой Каллос)).||||
nudd33|Что касается того, где она сейчас, я понятия не имею - и не сказал бы тебе, даже если бы ((знал)). ##У этой женщины есть планы, которые я даже не могу начать понимать, и я не хочу быть замешанным в попытках ((сорвать)) их, ради собственной шеи. ||||
p362|Я встречаюсь с Джеком Базальтом.||||
p363|Я хочу узнать о Джеке Базальте.||||
nudd34|Ах, старый Джек? <<Он усмехается.>> В Союзе его до сих пор называют ((позором флота)), после того как он бросил свой ранг и должность, чтобы присоединиться к ((веселой)) компании Велы.||||
nudd35|В бою этот человек был ((демоном)) - когда его голос гремел по палубе воздушного корабля, меч поднят высоко, ты точно ((слушал)) его...||||
nudd36|Но под палубой он всегда находил время, чтобы выпить с теми, кто под его командованием. Узнавал их имена, их проблемы - не ((каждый)) капитан наемников делает это. ||||
nudd37|Конечно, я не знаю, было ли это благодаря доброму сердцу или его слабости к ((крепкому напитку)). Дай угадаю... ты встречаешься в таверне, да? ##<<Он усмехается.>>||||
p364|Я ищу Эмберианца.||||
p365|Я хотел бы услышать об Эмберианце.||||
nudd38|Ах, я служил под ее командованием на [[Черном Гоблине]]. Думаю, ее настоящее имя было [[Орлайт]], но мы просто называли ее ((капитаном.)).||||
nudd39|Она всегда носила этот древний [[Эмберианский Доспех]], и была очарована всем, что было похоже на него. Мы часто останавливались у какого-нибудь старого ржавого руин, чтобы она могла осмотреться. ##Некоторые из парней даже начали думать, что она действительно ((была)) Эмберианкой, каким-то образом все еще живой после сотен лет.||||
nudd40|Я слышал, что она где-то в [[Хэллоушире]], все еще обыскивает сельскую местность в поисках ржавых реликвий. Она всегда была загадочной, так что я сомневаюсь, что она остановится в общественном доме - но ты, вероятно, захочешь спросить местных в [[Хэллоу Тауне]], видели ли они ее. ||||
p366|Мне нужно найти Герцогиню.||||
p367|Что ты знаешь о Герцогине?||||
nudd41|Ах, эта [[Вечная]] женщина? У меня было мало дел с ней, честно говоря. Она была древней королевской ((и)) шифровальщицей - что делало ее ((вдвойне)) претенциозной в моих глазах. ||||
nudd42|Я слышал, что у нее был какой-то [[родовой дом]] в [[Землях Вечных]]. Я был на тех островах всего пару раз, так что тебе придется спросить в городе [[Сепулькр]], если хочешь узнать больше.||||
p368|Ты знаешь Кэкстона Фроста? ||||
nudd43|О, этот эксцентричный парень? Красивый и ((явно)) гений? Он был частью внутреннего круга Велы, так что я говорил с ним только один раз - и та ночь была немного ((размытой)). ||||
nudd44|Мы были в Шаткой Башке, и он болтал часами о своих теориях инженерии Эмберианцев. К концу ночи он пел мне песни из своей родной Кардовы - то есть, как называлось [[Королевство Механизмов]] раньше.||||
nudd45|Я не слышал о нем ни слова с тех пор, как произошел мятеж. Если он не погиб в битве, может быть, он вернулся в [[Королевство Механизмов]] - но это место сейчас закрыто.||||
nudd46|Я выполнял задание по контрабанде бутылочных видений оттуда пару звездных циклов назад. Использовал парня по имени [[Михаил]], чтобы переправить меня, но это была чертовски опасная работа - я бы не рекомендовал ее без веской причины. ||||
p369|Это все, что я хотел знать. ||||
p370|Этого достаточно о Темных Звездах. ||||
nudd47|<<Он держит чай у груди и молчит.>>||||
p371|Тогда я пойду.||||
nudd48|<<Он вежливо улыбается, но молчит.>> ||||
nudd50|Хорошо. И позволь мне быть ясным - ты не слышал ничего из этого от ((меня)), мы поняли?||||
onion1|Стой на месте! Это штаб-квартира уважаемой наемной компании [[Гнилая Луковица]]. Никто не может пройти без разрешения нашего капитана, [[Джона Бёрдбарка]].||||
p400|Что за имя такое - ((Гнилая Луковица?))||||
onion2|Это ((очень хорошее имя)), я тебе скажу! Бёрдбарк - уважаемый ученый и боевой маг, а также наш капитан. Это ((его)) рассуждение, что это имя должно внушать ((страх)) нашим врагам.||||
p401|И как это ((работает))?||||
onion3|Ну... это сени... эм, семиобти... ((семиотика)), понимаешь? Как слова и их значение и все такое?||||
p402|Да, но почему луковицы внушают страх в сердца ваших врагов?||||
onion4|<<Страж наклоняет голову и почесывает челюсть.>> Ну, луковицы ведь никто не ((любит)), понимаешь? От них плачут. А гнилые и того ((хуже)).||||
p403|Ладно, я сдаюсь.||||
onion5|<<Страж кивает, явно удовлетворенный.>>||||
p404|Правильно. Да. ((Конечно)).||||
onion6|<<Страж кивает, явно удовлетворенный.>>||||
p405|Это глупое имя.||||
onion7|<<Страж выглядит явно обиженным.>> Н-н-ну, тебе не ((обязательно)) думать, что это умно. Мы все равно тебя зарежем.||||
p406|Что за гигантский монстр?||||
onion8|О, это [[гигантский наутилоб]]. Довольно ((страшно)), да? <<Он наклоняется ближе и смеется, но ты не совсем понимаешь шутку.>>||||
onion9|Видишь ли, [[мэр Пвилла]] наняла нас для работы, но она отказывается платить. Так что мы собираемся разграбить это место, если она не отдаст деньги.||||
p407|Я нашел тот гроссбух, который ты хотел.||||
onion10|Правда? Дай его сюда! ##<<Он листает страницы гроссбуха.>> Да, это похоже на правду. О боже, капитан будет так рад этому!||||
onion11|Ну, думаю, ты можешь пройти, тогда. Я крикну ребятам и скажу, что ты в порядке.  ||||
p408|Я хочу попасть в вашу штаб-квартиру.||||
onion12|Ну, ты не можешь. <<Он почесывает челюсть.>> Если только... ты не принесешь нам [[гроссбух мэра]].||||
p409|Что за гроссбух?||||
onion13|Ну, мэр Пвилла наняла нас, чтобы очистить лес от монстров. Конечно, мы столкнулись с некоторыми ((трудностями)), но работа есть работа. И она не платит!||||
onion14|Так что капитан считает, что если мы украдем ее [[гроссбух]], у нас будут доказательства, и мы сможем отнести его в Риованский Суд Сала.||||
p410|Суд ((сала))?||||
onion15|Ага. Это тип гарнира.||||
p411|Я думаю, ты имеешь в виду ((суд закона)).||||
onion16|<<Он бросает на тебя сердитый взгляд.>> Я знаю, что имел в виду, ((друг)). Риованский Суд Сала.||||
p412|Ладно, неважно.||||
onion17|<<Он кивает победоносно.>>||||
p413|И как я могу получить этот гроссбух?||||
onion18|Ну, я бы пробрался [[ночью]], пока мэр спит, конечно. Затем принеси его мне, и ты официально станешь другом Гнилой Луковицы.||||
onion19|@@Я просто большой фанат Гнилой Луковицы. Я бы ((с радостью)) увидел, где вы работаете.||||
onion20|%%<<Он выглядит польщенным.>> Ты слышал о нас? Правда? ##<<Он думает мгновение.>> Ну, ты один, так что я думаю, быстрый взгляд не повредит...||||
onion21|Ладно, ты можешь войти.||||
onion22|&&Ха! Я не попадусь на ((это)) снова. ##...эээ, не ((снова)), во всяком случае.||||
p414|Ну, может быть, я просто войду.||||
onion23|П-п-подожди! Если ты просто ((войдешь)) туда, у меня не будет ((выбора)), кроме как... эээ... зарубить тебя! Так что не делай ничего глупого, ладно? ||||
p415|Ладно, я понял.||||
onion24|<<Он кивает.>>||||
p416|Ладно, я пойду.||||
onion25|Снова привет, друг. Можешь смело войти. ||||
onion26|Черт возьми. Кто-то проболтался, что наш гигантский монстр - это просто ((зачарованный воздушный шар)), так что, похоже, у нас все еще будет ужин из подошвы.||||
onion27|Ну, капитан сейчас не слишком заботится о безопасности, так как он в основном плачет в своих покоях, так что, думаю, ты можешь войти. ||||
onion28|<<Ты понимаешь, что>> [[Гроссбух]] <<пропал из твоих карманов. Как странно...>>||||
onionCap1|Хм, я не помню, чтобы принимал посетителей! Я уважаемый капитан наемной группы Гнилая Луковица, Джон Бёрдбарк - и я ((не)) помню, чтобы вызывал тебя в свои покои. ||||
onionCap2|Хм, это ((ты)) снова.||||
p450|Я дал твоему стражу гроссбух мэра.||||
onionCap3|А, так это был ((ты))? Великолепно, великолепно! Это даст достаточно топлива для моего камина.||||
p451|Подожди, ты не собираешься ((делать)) с ним ничего? ||||
onionCap4|Ну, я рассказал компании какую-то глупую историю о том, что мы можем получить ((компенсацию)), или что-то в этом роде. Но на самом деле я просто хотел доставить этому проклятому мэру значительные ((неудобства)). О, как бы я хотел увидеть ее лицо - как ((слегка раздражена)) она должна быть! ||||
p452|Эээ... нет проблем. ||||
onionCap5|Теперь, ты собираешься... уйти? ||||
p453|Я хотел спросить о том гигантском монстре.||||
onionCap6|Хм, о да! Довольно ((пугающая)) штука, да? Я уверен, что это дает этому проклятому мэру пару бессонных ночей. <<Он усмехается.>> ||||
onionCap7|@@Так как ты заполучил такого зверя, а? Ты можешь мне рассказать. ||||
onionCap8|%%Ну... Хм... ладно, ты выглядишь как надежный тип.||||
onionCap9|Вот что действительно ((умно)) - это вообще не монстр! Это просто гигантский воздушный шар с наложенным на него заклинанием иллюзии. ((Гениально)), не так ли? ||||
onionCap10|О, у меня нет никакого намерения грабить город. Честно говоря, я не уверен, что мои люди смогут разграбить даже ((детский сад)). Но, может быть, мы напугаем их, чтобы они дали нам немного денег, да?||||
onionCap11|&&Хм! Ну... леди никогда не рассказывает. <<Он подмигивает.>> ||||
p454|О чем-то другом...||||
onionCap12|О, ((пожалуйста)), побыстрее...||||
p455|Что за имя такое - Гнилая Луковица, вообще?||||
onionCap13|Ну, ((ужасное)), конечно. Предыдущее имя оказалось довольно обидным ((оскорблением)) в Слеве - так что нам пришлось быстро придумать новое в таверне. Я предложил имя ((Золотой Галеон)) - и думал, что оно прошло довольно хорошо.||||
onionCap14|Но оказалось, что парни совершенно неправильно услышали меня в шуме таверны. На следующий день все хвалили меня за то, какое отличное имя 'Гнилая Луковица'. И как только идея засела в головах этих болванов, ее ((очень)) трудно выбить. ||||
p456|Прости, я просто пойду... ||||
onionCap15|Да, если ((пожалуйста!))||||
onionGrunt1|Видеть этого гигантского наутилоба там...? Это заставляет меня гордиться тем, что я ((Вонючая Луковица.)).||||
onionGrunt2|...что? Нет, я уверен, что это ((Вонючая)) Луковица. Думаю, я бы знал ((свое)) имя наемной компании!||||
onionGrunt3|Люди всегда болтают о тех ((Темных Звездах)) и их ((Веле Каллос.)). Но однажды... однажды они будут говорить о ((Гнилой Луковице!)) И о нашем... ((нашем))...||||
onionGrunt4|((О боги. Как там звали нашего главаря?))||||
onionGrunt5|Эти старые форты Войны Богов действительно странные, все сделано из металла, и все такое. Если спросишь меня, ящики и лодки должны быть сделаны из ((дерева.)).||||
onionGrunt6|Боже, мои ноги болят от патрулирования весь день. Кто вообще захочет нас ограбить? Мы нищие!||||
onionGrunt7|Ты, может, и очаровал остальных, но я слежу за тобой. ||||
emyr1|<<Фермер сидит без дела, наблюдая за грибами.>> ||||
p501|Занятой день? ||||
emyr2|<<Ты пугаешь фермера.>> Хм? О, Эмир не бездельничал, о нет! Просто... здесь не так много дел в последнее время, из-за плохого урожая грибов. ||||
emyr3|С каждым годом урожаи становятся все скуднее. Двинн говорит, что все будет хорошо, но я не думаю, что даже ((он)) в это верит.||||
emyr4|В последний раз, когда я принимал скригриб, я видел видение Пвилла, пустого и разрушенного, дома все в руинах. Честно говоря, если мы не ((сделаем)) что-то, у этого города нет будущего, я думаю...||||
p502|Ты слышал о каких-нибудь поклонниках богов здесь?||||
emyr5|<<Он внезапно выглядит нервным.>> Эмир ничего не знает, понял? Если меня поймают за разговорами о таком, Кулвич взвесит меня на своих страшных весах... ||||
p503|Я оставлю тебя в покое.||||
emyr6|<<Он возвращается к наблюдению за грибами.>>||||
emyr7|Так ты остановил Ллудда от самопожертвования, да? Должен признать, часть меня облегчена.||||
emyr8|Так он действительно ((сделал)) это, да? Ллудд, пожертвовавший собой ради блага Пвилла. Должен признать, я рад, что деревня спасена и все такое, но это не заставляет меня чувствовать себя хорошо, зная, что Ллудд ушел. Совсем нет. ||||
emyr9|Думаю, я должен признаться и сказать... что это был я, в Викканских одеждах, проводящий Викканский ритуал. Это все вещи, которые мы нашли в подвале мэра - старые вещи из времен до войны, и все такое. ||||
emyr10|Я хотел спасти деревню и все такое, но я сказал Ллудду, ты ((действительно)) хочешь это сделать, понимаешь? Я никогда не хотел, чтобы кто-то ((умирал)) из-за этого. ||||
emyr11|Просто... не упоминай меня старому Кулвичу, ладно? Я действительно не знал, во что ввязываюсь. Я не хочу гнить в тюремной камере... ||||
emyr12|<<В темноте и под таким толстым капюшоном ты не можешь разглядеть лицо человека.>> ##Убирайся ((прочь)) от меня, понял? Ты не должен ((быть)) здесь. Подойдешь ближе, и ты пожалеешь... ||||
ghutrid1|Хм, что это - ((еще)) один посетитель? Я думал, я ((сказал)) Двинну перестать давать ключ каждому встречному. ||||
ghutrid2|<<Она издает хриплый вздох.>> Слушай, я уверена, ты знаешь правила, но... расскажи ((кому-нибудь)) о нашем маленьком контрабандном предприятии, и ты получишь нож в живот. <<Ее разорванные губы образуют подобие улыбки.>> ##Понял? ||||
ghutrid3|<<Она хлопает в ладоши.>> Ну, с ((приятностями)) покончено, что тебе нужно? Ты хочешь перевезти товары - или тебе нужен [[Паспорт Союза?]]||||
ghutrid4|Ты снова, да? Ну, что тебе нужно? ||||
p550|Дай мне посмотреть, что у тебя есть на продажу.||||
ghutrid5|<<Она кивает.>> И ((очевидно)), ты не получил это от меня, верно? ||||
p551|Ты выглядишь немного... потрепанной. ||||
ghutrid6|Что, ты никогда не видел [[Вечную]] раньше? ##<<Она кашляет.>> Держу пари, что нет. ||||
ghutrid7|Ну, меня зовут Гутрид, и мне шестьсот с чем-то лет. Прости, если я не могу вспомнить ((точное)) число - последние сто лет были немного ((утомительными.)).||||
ghutrid8|В любом случае, я не чертов посланник [[Земель Вечных]]. Ты можешь видеть их гнилые деревья и шпили мавзолеев из Пвилла - так что если ты ((действительно)) хочешь узнать ((прелести)) вечной жизни в пыльной гробнице, ты можешь посетить их когда-нибудь. ||||
p552|Твои Паспорта Союза - они работают?||||
ghutrid9|Ну, если бы они ((не работали)), я бы тебе не сказала, верно? ##Вот что: если парень у ворот поймет, что это подделка, я приду навестить тебя в твоей камере Инквизиции. Удовлетворен? ||||
ghutrid10|Так что, если ты хочешь один, просто посмотри [[мой ассортимент.]]||||
p553|Что за портал там сзади?||||
ghutrid11|<<Она усмехается.>> Ах, старинная семейная реликвия, можно сказать. Мы, Вечные, любим наши портальные зеркала, даже если они часто ведут в задницу мавзолея. ##Думаю, я могла бы ((хорошо использовать)) пару, и заключила это маленькое партнерство с Двинном.||||
ghutrid12|Этот ведет прямо в [[Потерянный Кошелек]] в [[Хэллоу Тауне]]. Скажем так, люди там разделяют общее отвращение к налогам Союза. <<Она усмехается.>>||||
ghutrid13|Только они держат комнату запертой с другой стороны, если у нас нет доставки, так что не суй свой нос, ладно? ||||
p554|Я пойду.||||
ghutrid14|Хорошо. И ни слова никому, понял? ||||
mechFarmer1|Стой на месте! <<Мужчина направляет на тебя особенно ржавый меч.>>##Ты не... ((тикаешь)), да? Никаких металлических конечностей? Протекающих суставов? ||||
p601|Зачем мне быть... ((тикающим))?||||
mechFarmer2|Потому что ты можешь быть ((механическим устройством)), скрывающимся под ((кожей)) человека! ##<<Он задыхается и моргает на тебя.>>||||
mechFarmer3|Ну, не смотри на меня, как на ((дурака!)) Это вполне разумное подозрение!||||
p602|Да! Я, вообще-то, ((часы.)). ||||
mechFarmer4|<<Мужчина задыхается.>> Ах! Я знал! Эти дьявольские устройства становятся все более изощренными с каждым днем! ||||
mechFarmer5|<<Мужчина подходит ближе и тыкает тебя несколько раз пальцем.>> Хм.||||
p603|Отстань от меня, старик!||||
mechFarmer6|Ты в ((моем)) доме! Я буду делать, что черт возьми захочу. ##<<Он хмурится на тебя мгновение.>>||||
p604|((Позволь ему продолжить.)).||||
mechFarmer7|<<Он тыкает тебя еще несколько раз.>> Хмммм.||||
mechFarmer8|Гах! Ну, признаю, ты не ((похож)) на бездушную машину для убийств из этого проклятого [[Королевства Механизмов]]. Просто, после ((атак)) я стал довольно нервным. ||||
p605|Расскажи мне о Королевстве Механизмов.||||
mechFarmer9|Эти [[Острова Грёз]] являются домом для определенного [[Королевства Механизмов]], к ((востоку)) от этой деревни Пвилл. ||||
p606|Что это за ((Королевство Механизмов?))||||
mechFarmer10|Хм, ты новенький, да? Эти [[Острова Грёз]] являются домом для определенного [[Королевства Механизмов]], к ((востоку)) от этой деревни Пвилл. ||||
mechFarmer11|Какое-то время они были достаточно хорошими соседями - кроме этих надоедливых фабрик, выпускающих дым, и случайных взрывов, сотрясающих весь остров. ||||
mechFarmer12|Но люди говорят, что их король-машина сошел с ума, и теперь некоторые из их гаджетов и устройств переползают через границу и разрушают мои урожаи. ||||
p607|Ты сказал, что на тебя нападали?||||
mechFarmer13|<<Он вздыхает.>> Ага. Механические чудовища. ##<<Он хмурится на тебя.>> И не ((смейся))! Я серьезно! ||||
mechFarmer14|Они приходили с востока; где снег падает. Забавная вещь - он никогда ((раньше)) не шел здесь.||||
mechFarmer15|Сначала это были просто маленькие штуки. Но в последнее время один [[огромный металлический ублюдок]] начал ((ухаживать)) за моими грибными урожаями своими оружиями. Если я попытаюсь его прогнать, он атакует! ||||
p608|Думаю, я уже разобрался с этим. ||||
mechFarmer16|<<Его глаза широко раскрываются.>> Ты ((разобрался?)) И я тут думал, что любой ((дурак)), кто попытается, будет изрублен на куски! <<Он усмехается.>>||||
p609|Я мог бы попробовать его отключить.||||
mechFarmer17|Ты бы? О, я был бы очень благодарен. Если ты справишься, у меня есть немного [[монет]] для тебя. ||||
mechFarmer18|Машина, кажется, прячется в [[заснеженной горе на востоке]]. Самый простой способ справиться с ней - это [[разбить ее на куски]], но... ее [[броня]] отразит любой удар, который не ((достаточно силен.)).||||
mechFarmer19|Так что, может быть, есть способ ее отключить? Было несколько подозрительных [[контейнеров]], которые упали в [[лесу вокруг здесь]]. ||||
p610|Ну, удачи с этим, старик.||||
mechFarmer20|<<Он усмехается.>> Ага, и она мне понадобится. ||||
p611|Ты можешь рассказать мне о той машине, которая тебя беспокоит?||||
p612|Мне нужно идти.||||
mechFarmer21|<<Он кивает.>>||||
p613|Я разобрался с той машиной, которая тебя беспокоила. ||||
mechFarmer22|<<Его глаза широко раскрываются.>> Ты ((разобрался?)) И я тут думал, что ты будешь изрублен на куски! <<Он усмехается.>>||||
mechFarmer23|Так расскажи, как ты это сделал? ||||
p614|Я просто продолжал бить ее, пока она не перестала двигаться.||||
mechFarmer24|<<Он кивает с одобрением.>> Как мой отец говорил, если ты можешь решить любую проблему насилием; ты справишься в этом мире. ||||
mechFarmer25|<<Он прочищает горло.>> Конечно, мой отец умер в пьяной драке, покой его душе. Но ((в этом случае)) я думаю, он был прав.||||
mechFarmer26|В любом случае, это не много, но у меня есть немного [[монет]], спрятанных здесь. Пожалуйста, прими их, вместе с моей искренней благодарностью. ||||
p615|Мне удалось отключить ее дистанционно.||||
mechFarmer27|<<Он стучит по лбу.>> Ах, ты умный, да? ||||
mechFarmer28|Ну, это не много, но у меня есть немного [[монет]], спрятанных здесь. Пожалуйста, прими их, вместе с моей искренней благодарностью. ||||
p616|Я изменил ее протоколы; теперь она должна мирно ухаживать за твоей фермой. ||||
mechFarmer29|<<Он выглядит ошеломленным.>> Ты... изменил ее ((что))? Так ты имеешь в виду, что она теперь ((дружелюбна))?||||
mechFarmer30|<<Он поглаживает подбородок.>> Хм. Если это ((сработает)), и эта машина окажется хотя бы наполовину такой полезной, как я слышал... почему, я стану ((самым богатым)) грибоводом в Пвилле...||||
mechFarmer31|<<Он расплывается в широкой улыбке.>>  Может быть, даже в ((Хэллоушире...))||||
mechFarmer32|Спасибо, странник - искренне. ##У меня есть старинная [[семейная реликвия]], которая должна стоить пару монет у торговцев в Хэллоу Тауне - пожалуйста, возьми ее. Ты ((заслужил)) ее. ||||
mechFarmer33|Хм. Извини, если я немного отвлечен, путешественник; эта проклятая [[машина]] из [[Королевства Механизмов]] все еще разрушает мои урожаи. ||||
mechFarmer34|Ах, если это не мой любимый прохожий. Должен сказать, с тех пор, как ты разобрался с этой проклятой машиной, здесь стало намного спокойнее.||||
mechFarmer35|Ах, если это не мой любимый прохожий! ##Должен сказать, с тех пор, как ты возился с этим роботом и сделал его дружелюбным, мои урожаи стали ((обильными.)). ||||
mechFarmer36|<<Он усмехается.>>Ты просто шутишь?||||
mechVassal1|<<Устройство трещит от явного импульса шифрованной магии. Его глаз-череп регистрирует твое присутствие, и механическое перо выцарапывает следующие строки:>>||||
mechVassal2|[[РАДУЙСЯ]], УГНЕТЕННЫЙ РАБ ПОРАЖЕНЧЕСКИХ СИЛ! ТЫ СТОИШЬ ТЕПЕРЬ ВО ВЛАДЕНИЯХ МЕХИНУСА РЕКСА. ||||
mechVassal3|[[ПРОКЛАМАЦИЯ]]: ЭТОТ ПОЧТЕННЫЙ ВАССАЛ УПРАВЛЯЕТ ПРОТОКОЛАМИ СВОИХ ПОДЧИНЕННЫХ АВТО-СЕРВОВ. ##ПРОВОДЯ ПЕРЕПИСЬ... ||||
mechVassal4|КОЛИЧЕСТВО НЕАКТИВНЫХ АВТО-СЕРВОВ: [[253]]. ##КОЛИЧЕСТВО АКТИВНЫХ АВТО-СЕРВОВ =: [[1]]. ##ТЕКУЩИЙ ПРОТОКОЛ ТРУДА: [[ВОИНСТВЕННОЕ ЗЕМЛЕДЕЛИЕ]]. ||||
mechVassal5|ЕСТЬ ЛИ У ТЕБЯ ВОПРОС? ||||
p620|Что, если я просто разобью тебя? Это остановит роботов?||||
mechVassal5b|РАЗМЫШЛЯЮ... ##[[СУД]]: ПРЕКРАЩЕНИЕ ОБЯЗАННОСТЕЙ РАЗРЕШЕНО ТОЛЬКО ПО ПРИКАЗУ МЕХИНУСА РЕКСА ИЛИ ЕГО НАЗНАЧЕННЫХ ЗАМЕСТИТЕЛЕЙ. ПОЭТОМУ, [[УКАЗ]]: ТВОЯ ПРОСЬБА ОТКЛОНЕНА.||||
p621|Я хочу отключить машину на твоей службе.||||
mechVassal6|[[АКСИОМА]]: НАПАДЕНИЕ НА КОРОЛЕВСКОГО ВАССАЛА - ЭТО ИЗМЕНА, И МОЖЕТ БЫТЬ ПРИЗНАНО АКТОМ ВОЙНЫ. ПОЭТОМУ, [[УКАЗ]]: ТЫ НЕ ДОЛЖЕН ПРИКАСАТЬСЯ К ЭТОМУ ВАССАЛУ.||||
p622|((Дай ему хороший удар)).||||
mechVassal7|<<Ты бьешь машину. Не требуется много силы, чтобы она начала трещать и остановилась. Через несколько мгновений ты удовлетворен, что она больше не работает.>>||||
p623|Ладно, неважно. ||||
p624|Я хочу изменить, эээ, протоколы труда. ||||
mechVassal8|РАЗМЫШЛЯЮ... ##[[СУД]]: ИЗМЕНЕНИЕ ПРОТОКОЛОВ РАЗРЕШЕНО ТОЛЬКО ПО ПРИКАЗУ МЕХИНУСА РЕКСА ИЛИ ЕГО НАЗНАЧЕННЫХ ЗАМЕСТИТЕЛЕЙ, ИЛИ ПО УСМОТРЕНИЮ ЭТОГО ВАССАЛА. ПОЭТОМУ, [[ВОПРОС]]: КАКОВ ТВОЙ АРГУМЕНТ?||||
p625|@@Твой серв причиняет хаос и, вероятно, будет уничтожен, если ты не скажешь ему успокоиться.||||
mechVassal9|&&РАЗМЫШЛЯЮ О КАНОНЕ(Диспутация)... ОЦЕНИВАЮ ДЕЙСТВИТЕЛЬНОСТЬ... ##[[СУД]: ТВОЙ АРГУМЕНТ НЕДОСТОИН. ПОЭТОМУ, [[УКАЗ]]: ЭТОТ ВАССАЛ ПРОДОЛЖИТ СВОИ ОБЯЗАННОСТИ.||||
