|1: English|2: French|3. German|4. Spanish|5. Italian
DIRECTION_RHYDDER|This way to ##[[THE RHYDDER ESTATE]].##||||
DIRECTION_DUCHESS|This way to ##[[THE DUCHESS' MANOR]].##||||
DIRECTION_EMBERIANRUIN|This way to ##[[EMBERIAN RUINS]].##||||
DIRECTION_CWK|This way to ##[[THE CLOCKWORK KINGDOM]].## ((Someone has scrawled)) The Kingdom is BROKEN||||
DIRECTION_FER|This way to ##[[FERROPOLIS]],## Largest and most prosperous city in the Oneiric Isles.||||
DIRECTION_VISIONWORKS|This way to ##[[ROYAL VISION WORKS]].##Inquire today about being a vision worker. The Kingdom wants your dreams!||||
DIRECTION_MOROZOV|This way to ##[[MOROZOV'S TOWER]].##||||
DIRECTION_FROST|This way to ##[[SAMMOL'S PLACE]].## ((A note has been added crudely:))##Horace Metcalfe stories rule!||||
DIRECTION_CORRUPTED|This way to ##[[THE CORRUPTED LANDS]].##On command of the King, all citizens are forbidden entry.||||
DIRECTION_PROGRESS|This way to ##[[THE CITY OF PROGRESS]].##((An attached note:)) These ruins are OFF-LIMITS.||||
DIRECTION_OBJGRAVE|This way to ##[[THE OBJECT GRAVEYARD]].##No fly-tipping!||||
DIRECTION_BEACON|This way to ##[[ROYAL BEACON]].##Only Machinists permitted.||||
DIRECTION_LIBUNTRUTH|This way to ##[[THE LIBRARY OF UNTRUTH]].##||||
DIRECTION_CLEANUP|This way to ##[[CLEANUP CAMP]].##||||
MAP_HW_MID|Central Hallowshire||||
MAP_HW_EAST|Eastern Hallowshire, Farmland||||
MAP_HW_WEST|Western Hallowshire, Forest||||
MAP_HW_SOUTH|Southern Hallowshire, Marsh||||
MAP_EN_NORTH|Northern Endless Region||||
MAP_EN_MID|Central Endless Region||||
MAP_EN_SOUTH|Southern Endless Region||||
MAP_ST|Dark Star Hideout||||
MAP_CWK_NORTH|Northern Clockwork Kingdom||||
MAP_CWK_MID|Central Clockwork Kingdom||||
MAP_CWK_SOUTH|Southern Clockwork Kingdom||||
MAP_ENDGAME_NW|North West Fringes||||
MAP_ENDGAME_NE|North East Fringes||||
MAP_ENDGAME_SW|South West Fringes||||
MAP_ENDGAME_SE|South East Fringes||||
LMRK_FARM|Inquisition Raid||||
LMRK_TREE|Hollowed-Out Tree||||
LMRK_RIVER|Vertical Shell||||
LMRK_HALLOWTOWN|Hallow Town||||
LMRK_MAUSOLEUM_N|Northern Mausoleum||||
LMRK_MAUSOLEUM_S|Southern Mausoleum||||
LMRK_FLESH|Penitent Thaw's Flesh Farm||||
LMRK_SEPULCHRE|Sepulchre||||
LMRK_RHYDDER|Lord Rhydder's Estate||||
LMRK_VELA|Vela's Fortress||||
LMRK_BELLTOWER|Bell Tower||||
LMRK_DUNGEON|Peaguthian Dungeon||||
LMRK_TOWER|Brigand Tower||||
LMRK_TYPHOS|Golden Typhos Airship||||
LMRK_CASTLE|Hallow Castle||||
LMRK_CARTO_HW|Cartographer Tent||||
LMRK_WITCH|Strange House||||
LMRK_EMBERIAN|Emberian Vault||||
LMRK_ACADEMY|Erudite Academy||||
LMRK_WIKKAN_ISLE|Wikkan Island||||
LMRK_RIBS|Castle of Ribs||||
LMRK_WYRM|Sentient Wyrm||||
LMRK_THORNWOOD|Thornwood Manor||||
LMRK_DUCHESS|Duchess' Estate||||
LMRK_VERDANT|Ruins of Verdant||||
LMRK_CADAVERKEEP|Cadaver Keep||||
LMRK_RUSTBURG|Rustburg||||
LMRK_EMBERIANDUNGEON|Emberian Vault||||
LMRK_KNIGHTHIDEOUT|Emberian Ruin||||
LMRK_UNTRUTHS|Library of Untruths||||
LMRK_FERROPOLIS|Ferropolis||||
LMRK_CLEANUPCAMP|Cleanup Camp||||
LMRK_FROST|Dreamer's Reprieve||||
LMRK_OBJGRAVEYARD|The Object Graveyard||||
LMRK_VISIONWORKS|The Royal Vision Works||||
LMRK_PROGRESS|Lost City of Progress||||
LMRK_BEACON|The Royal Beacon||||
LMRK_DIGGER|Digging Engine||||
LMRK_MOROZOV|Morozov's Tower||||
LMRK_SACREDSHROOM|Sacred Shroom||||
LMRK_PWYLLVILLAGE|Pwyll Village||||
LMRK_ROTTENONIONS|Rotten Onions||||
LMRK_MECH|God War Machine||||
LMRK_GODSKELETON|Skeleton of a God||||
LMRK_SNAIL|Secret Shop||||
LMRK_CRASHEDSHIP|Crashed Emberian Ship||||
LMRK_MOLLUSC|Coven of the Mollusc Castle||||
SUMMON_SKELETON_0|Bingo||||
SUMMON_SKELETON_1|Screamer||||
SUMMON_SKELETON_2|Death Rattle||||
SUMMON_SKELETON_3|The Ripper||||
SUMMON_ARCHER_0|God Killer||||
SUMMON_ARCHER_1|Droog||||
SUMMON_ARCHER_2|Don't Give Up||||
SUMMON_ARCHER_3|Blood Splatter||||
SUMMON_CASTER_0|Bright Bones||||
SUMMON_CASTER_1|Blaster||||
SUMMON_CASTER_2|Toxic Fume||||
SUMMON_CASTER_3|Tomeworm||||
SUMMON_SHIELD_0|The Coward||||
SUMMON_SHIELD_1|Town Menacer||||
SUMMON_SHIELD_2|Blondy||||
SUMMON_SHIELD_3|Iron Blood||||
SUMMON_SPIDER_0|Rusty Jaws||||
SUMMON_SPIDER_1|Horsepower||||
SUMMON_SPIDER_2|Jimmy||||
SUMMON_SPIDER_3|The Creature||||
PWYLL_RITUAL_T|Occult Instruments||||
PWYLL_RITUAL|Various occult instruments litter the chamber. They've been assembled in a haphazard, amateurish way - but nonetheless, they seem to be having the desired effect. A pervasive sense of dread fills the air, and while the colossal god corpse that dominates the room appears to be lifeless - you sense an eldritch presence stirring. ##Amongst the clutter you find a key, covered in tiny mushrooms. Culwych will want to hear about this.||||
PWYLL_NAUTILOB_T|Suspicious Notes||||
PWYLL_NAUTILOB|The desk contains a number of scrawled notes, mostly pertaining to illusion spells. From what you find here, you can surmise that someone was trying to cast an illusion of significant scale. There are also numerous anatomical sketches of nautilobs... ##It seems that the giant monster isn't at all what it seems. It was a trick, this whole time.||||
PWYLL_MAYOR_BASEMENT_T|Wikkan Antiques||||
PWYLL_MAYOR_BASEMENT|You find an assortment of Wikkan antiques; notes on contract-rites, old dusty garments and a number of unfamiliar instruments.||||
PWYLL_SACREDSHROOM_T|A Nauseating Stench||||
PWYLL_SACREDSHROOM|The nauseating stench of bile engulfs the flesh-chamber. Before you, a huge digestional tract pulsates and throbs with corrosive acid. ##It would seem as though this mushroom has ((organs.)) ##You can just make out a figure squirming behind layers of translucent flesh; you should investigate.||||
CRYSTALSKULL_INACTIVE|Nothing seems to happen.||||
CRYSTALSKULL_TIMERSTART|You feel a sudden sense of urgency...||||
CRYSTALSKULL_TIMERFAIL|Somewhere, an hourglass has run empty.||||
CRYSTALSKULL_COMPLETE|A sudden sense of euphoria: all the skulls are awakened.||||
CRYSTALSKULL_SIGN|Best Record:||||
CRYSTALSKULL_TIMETRIAL|Can you beat your fastest time?||||
CRYSTALSKULL_FAST|New Record!||||
CRYSTALSKULL_SLOW|Too Slow...||||
STAT_PLAYERKILLS|Player Kills||||
STAT_PLAYERDEATHS|Player Deaths||||
STAT_SUMMONKILLS|Summon Kills||||
STAT_ENTICELEVEL|Entice Level||||
STAT_TEASDRUNK|Teas Drunk||||
STAT_BEERSDRUNK|Beers Drunk||||
CONTEXT_PLAYERKILLS|The total number of lives, human or otherwise,you have taken.||||
CONTEXT_PLAYERDEATHS|The total number of times the Chained God has pulled you back from the brink of death.||||
CONTEXT_SUMMONKILLS|The total number of lives your summoned creatures have taken in your name.||||
CONTEXT_ENTICELEVEL|Your current Entice Spell level, used to determine whether an enemy can be Enticed to fight for you. The base level is determined by your Charm stat, but certain modifiers can increase Entice even further.||||
CONTEXT_TEASDRUNK|The number of teas you have drunk. Remember to take tea breaks regularly, preferably somewhere with a lovely view.||||
CONTEXT_BEERSDRUNK|The number of beers you have drunk. Please drink responsibly, and do not drive your airship while under the influence.||||
INTRO_SUB1|Our world is long since shattered||||
INTRO_SUB2|but hope still flickers||||
INTRO_SUB3|in our darkest dreams.||||
INTRO_SUB4|Few would guess that our fate would be||||
INTRO_SUB5|decided upon the Oneiric Isles||||
INTRO_SUB6|an almost forgotten archipelago||||
INTRO_SUB7|of the southern skyrealms.||||
INTRO_SUB8|On these uncanny islands||||
INTRO_SUB9|the Apostatic Union||||
INTRO_SUB10|power-drunk after slaughtering||||
INTRO_SUB11|their once exalted gods||||
INTRO_SUB12|...maintains but a paltry presence.||||
INTRO_SUB13|Under their negligent gaze||||
INTRO_SUB14|the deep forests and dark places||||
INTRO_SUB15|teem with cutthroats... cultists||||
INTRO_SUB16|...and worse.||||
INTRO_SUB17|In the desolate endless realm||||
INTRO_SUB18|poor souls languish undying||||
INTRO_SUB19|in decrepit mausoleums||||
INTRO_SUB20|...yearning for their lost mortality.||||
INTRO_SUB21|While the clockwork kingdom||||
INTRO_SUB22|ruled by the crooked logic||||
INTRO_SUB23|of its manufactured monarch||||
INTRO_SUB24|strives to transform not just the realm||||
INTRO_SUB25|...but reality itself.||||
INTRO_SUB26|All these regions have their part to play||||
INTRO_SUB27|in this unfolding story.||||
INTRO_SUB28|But it begins fathoms below in the underlands||||
INTRO_SUB29|a ruinous wasteland||||
INTRO_SUB30|where none can draw breath for long.||||
INTRO_SUB31|It is here that a secret waits||||
INTRO_SUB32|to be uncovered||||
INTRO_SUB33|by someone whose dreams||||
INTRO_SUB34|burn brighter than any.||||
INTRO_SUB35|...but will those dreams kindle||||
INTRO_SUB36|into a radiant destiny?||||
INTRO_SUB37|Or will we burn||||
INTRO_SUB38|...in the folly of Delusion?||||
Escape|Escape||||
Space|Space||||
Enter|Enter||||
Tab|Tab||||
Up Arrow|Up Arrow||||
Down Arrow|Down Arrow||||
Left Arrow|Left Arrow||||
Right Arrow|Right Arrow||||
Left Shift|Left Shift||||
Right Shift|Right Shift||||
Shift|Shift||||
Left Alt|Left Alt||||
Right Alt|Right Alt||||
Alt|Alt||||
Left Control|Left Control||||
Right Control|Right Control||||
Control|Control||||
Left System|Left System||||
Right System|Right System||||
Context Menu|Context Menu||||
Backspace|Backspace||||
Page Down|Page Down||||
Page Up|Page Up||||
Home|Home||||
End|End||||
Insert|Insert||||
Delete|Delete||||
Caps Lock|Caps Lock||||
Num Lock|Num Lock||||
Print Screen|Print Screen||||
Scroll Lock|Scroll Lock||||
Pause/Break|Pause/Break||||
Numpad Enter|Numpad Enter||||
Numpad /|Numpad /||||
Numpad *|Numpad *||||
Numpad +|Numpad +||||
Numpad -|Numpad -||||
Numpad .|Numpad .||||
Numpad =|Numpad =||||
Numpad 1|Numpad 1||||
Numpad 2|Numpad 2||||
Numpad 3|Numpad 3||||
Numpad 4|Numpad 4||||
Numpad 5|Numpad 5||||
Numpad 6|Numpad 6||||
Numpad 7|Numpad 7||||
Numpad 8|Numpad 8||||
Numpad 9|Numpad 9||||
Numpad 0|Numpad 0||||
Left Button|Left Button||||
Right Button|Right Button||||
Middle Button|Middle Button||||
Forward|Forward||||
Back|Back||||
Left/Right|Left/Right||||
Up/Down|Up/Down||||
