|HallowQuests||||
CradleEmberianAP6|Change of plans. I want to make her Heaven a reality. ||||
CradleEmberianAP7|Yes, I want to see her Heaven made a reality.||||
CradleEmberianAP8|No, we should try and stop her.||||
CradleEmberianAP9|That bitch stabbed me! She won't leave the Cradle alive. ||||
CradleEmberianAP10|My pleasure, Orlaith.||||
CradleEmberianAP11|We just need your sword skills, that's all.||||
CradleFrostA1R|It has been a pleasure, Confessor. I shall see you on stage. ||||
CradleFrostA1|<<Frost is sipping from a teacup, which he raises in salute at your approach.>> ##Ah, Confessor! Good of you to join us.||||
CradleFrostA2|So, here we are at last. The interval is nearly over. The curtain's soon to open. Everything is in place for the final act. ##Let's just hope I can remember my lines.||||
CradleFrostA3a|<<He sips.>> Oh, naturally I'm scared ((shirt))less. This is the confrontation I've been running from all along. ((This)) what I became Horace to escape.||||
CradleFrostA3b|<<He sips.>> Nevertheless, a little stage fright is only natural. This is the confrontation I've been running from all along. ((This)) what I became Horace to escape.||||
CradleFrostA4|Yet I am finding that the fear is less... ((biting)) than before. It feels calming, somehow, to last be walking ((towards)) my troubles, with a firm resolve. ##<<He snorts.>> Funny how long we resist the simplest lessons.||||
CradleFrostA5|Confessor, do you remember our first meeting? Lately I've found myself turning it over in my brain. ##At the time, you argued that we should use the power of the Angel to build a better world. ||||
CradleFrostA6|I was hesitant, of course. I scarcely trusted myself to choose a pair of curtains, let alone the fate of humanity. ||||
CradleFrostA7|But... ##<<He sighs, then looks into your eyes.>> I have come to the conclusion that you were right, and I was wrong.||||
CradleFrostA8|Confessor, do you remember our first meeting? Lately I've found myself turning it over in my brain. ##At the time, you persuaded me that we should destroy the Angel, lest it obliterate the world. ||||
CradleFrostA9|It felt so ((liberating)) to agree with you. To finally shrug off the burden of my dreams, and let go of all those years I sacrificed for my homeland's impossible promise.||||
CradleFrostA10|But... ##<<He sighs, then looks into your eyes.>> I have come to the conclusion that both of us were wrong.||||
CradleFrostA11|Confessor, do you remember our first meeting? Lately I've found myself turning it over in my brain. ##At the time, you persuaded me that the Angel's promise was a mirage; that a better world can only be built one brick at a time.||||
CradleFrostA12|Those were wise words. The Dark Stars could have bettered ((so many)) lives with all the power and treasure we attained. If we'd done the hard work, and made the hard choices. Instead we took the easy path, following our leader into damnation for a prize that could absolve any crime.||||
CradleFrostA13|But... ##<<He takes a deep breath, and locks eyes with you.>> Things are different now. Don't you see? The Cradle has risen. The stable door has been blown off its ((bally)) hinges. ||||
CradleFrostA14|Everything the Clockwork Kingdom ever tried was mere child's play compared to the Angel. This is ((it)); the real deal. And now that we're on the precipice... I find I cannot turn my back.||||
CradleFrostA15|It's all Horace's fault, I'm afraid. His visions were so good because he still had hope. Hope that every person could be redeemed; that love really was more powerful than despair.||||
CradleFrostA16|When you reawakened my old self, that hope didn't die. It's stayed with me, infectious, all mixed up together with everything I've seen and done.||||
CradleFrostA17a|<<Frost smiles ruefully.>> So you see, I have to believe that Horace wasn't wrong to hope. ##I mean that literally: I have no choice but to believe. For Sam, and my family, and everyone I've ever loved.||||
CradleFrostA17b|<<Frost smiles ruefully.>> So you see, I have to believe that Horace wasn't wrong to hope. ##I mean that literally: I have no choice but to believe.||||
CradleFrostA18|<<Frost's smile widens.>> You mean it? ##Very well, then. Let us take our places for the performance of a lifetime.||||
CradleFrostA19|<<Frost gazes at you for a while, then nods, his expression surprisingly peaceful.>> ##Very well. If this final act should cast us as foes, let us play our parts with gusto.||||
CradleFrostA20|<<Frost laughs.>> Refreshingly honest, Confessor. Very well; you improvise, and I will react. If it transpires that we are cast as foes, let us play our parts with gusto.||||
CradleFrostA21|<<He sighs.>> I'm going to ((flipping)) regret all this, aren't I?||||
CradleFrostAP1|How are you feeling?||||
CradleFrostAP2|You'll do fine, Frost. After all, we've rehearsed plenty.||||
CradleFrostAP3|If you're saying you want to activate the Angel, I'm with you.||||
CradleFrostAP4|I'm sorry, Frost. I won't let you activate the Angel.||||
CradleFrostAP5|Honestly, I have no idea what I'll do once we reach the Angel.||||
CradleDuchessA1|Ever since we saw it, I've been thinking of that Angel. ## I've long read of such ominous entities, drifting in the Void beyond reality; but until now they were entirely ((theoretical)).||||
CradleDuchessA2|But seeing such a creature in the ((flesh?)) I could ((feel)) its... incongruity, its vast contradiction, like a thorn in my brain. With something so alien to this world, maybe Vela really ((can)) bend reality to her will...||||
CradleDuchessA2b|<<The Duchess plays idly with her Void dagger, watching it glide through the air.>> ##Oh, Confessor. My apologies, I was lost in thought...||||
CradleDuchessA2c|It's that ((Angel.)) I've long read of such entities, drifting in the Void beyond reality; but until now they were entirely ((theoretical)). For all the complexities of our cipher art, we have only the smallest understanding of the Void.||||
CradleDuchessA2d|But seeing such a creature in the ((flesh?)) I could ((feel)) its... incongruity, its vast contradiction, like a thorn in my brain. Not a single part of it was ever meant to intersect with this world.||||
CradleDuchessA2e|That Vela succeeded in acquiring the creature is quite remarkable. Maybe she truly ((can)) achieve this audacious ((Heaven)) of hers.||||
CradleDuchessA3|Confessor, you told me that Vela could grant the Endless a true death, if her Heaven prevails. ##I've been thinking on this a great deal these past few days.  ||||
CradleDuchessA4|It's Ironic that her hunt for immortality could grant my people the dreamless slumber many of them crave. <<She smiles.>> Ironic, but not undesirable. ||||
CradleDuchessA5|<<She closes her eyes.>> So many years of listless agony. So many lifetimes, flittered away in a half-life; unable to feel the air in our lungs, or the wind in our hair... ||||
CradleDuchessA6|But... do you truly mean to aid Vela? Orlaith and Basalt, it seems, are set on opposing her. ||||
CradleDuchessA7|Confessor, you told me that Vela could grant the Endless a true immortality, if her Heaven prevails. ##I've been thinking on this a great deal these past few days.  ||||
CradleDuchessA8|It has been many years since I've felt the air in my lungs or the wind in my hair, or... or seen my daughter's smile. To think that these things could be still be possible? ##I have come to realise that I... would like that very much.||||
CradleDuchessA9|But... do you truly mean to aid Vela? Orlaith and Basalt, it seems, are set on opposing her. ||||
CradleDuchessA10|Confessor, you told me that Vela must be stopped, and that us Endless must learn to accept our fate. ##I've been thinking on this a great deal these past few days.  ||||
CradleDuchessA11|My people's burden is ours to bear, and though we lament our torment, I believe some good, no matter how slight, can be gleaned from the worst of tragedies. ||||
CradleDuchessA12|Vela's idea of Heaven might benefit my people, but I have no doubt it would wreak great havoc and disruption upon everyone else. For this reason I'll help you to stop Vela, no matter the cost.||||
CradleDuchessA13|...you ((are)) still going to try and stop her, correct? ||||
CradleDuchessA14|<<She nods.>> I thought as much. It will be a risky fight, but I'll do my best to aid you. ||||
CradleDuchessA15|<<She looks away, and is silent for a moment.>> ##I... understand. Though I'm vexed you would stir such false hope in me, I see what's at stake here.||||
CradleDuchessA16|<<She frowns.>> My, you ((do)) have such fickle whims, Confessor. I had thought the matter settled.||||
CradleDuchessA17|I won't deny that there will be many... ((boons)) to the Endless, for assisting in Vela's plan. So, do as you see fit; I'll lend my ciper-sorcery to the cause, one way or another. ||||
CradleDuchessA18|<<She nods.>> Thank you, Confessor. Together we will see this through.||||
CradleDuchessA19|When we reach the Cradle, I'll keep Vela's main force distracted with a cipher-shield. That should give you time to find an alternate entrance.||||
CradleDuchessA20|But no matter what, this will be a perilous mission. I've spoken to Caer, and arranged for my daughter's hand to be delivered home if I am to... meet a ((similar)) fate to hers.||||
CradleDuchessAP1|After she ran me through with her blade, I'm hardly going to ((help)) her.||||
CradleDuchessAP2|Her so-called Heaven is too chaotic an idea; she must be stopped.||||
CradleDuchessAP3|Despite her actions, I will help her achieve this Heaven; for the benefit of all. ||||
CradleBasaltB1|Right, well despite it all, that went pretty smooth, eh? <<He grins.>> ##Damn sight better than the last landing, at least. ||||
CradleBasaltBP1|What's the plan now we're here? ||||
CradleBasaltBP2|I'll get going. ||||
CradleEmberianB1|We're aboard the most abhorrent vessel ever constructed, surrounded by the Union Navy; on our way to face ((Vela Callose)) and her captive eldritch horror. ||||
CradleEmberianB2|<<She smiles.>> Careful, Confessor. Anything more dangerous and I might start having ((fun)).||||
CradleDuchessB1|Once more I've erected my [[transpositional supply tent]]. By all means use it to stock up, but don't tarry; we must strike quickly now that we're here. ||||
CradleDuchessB2|Vela's lackeys will come at us in full force, but I'll try to keep them at bay for as long as I can. ##Once we've set off you must [[find Frost]] and help him make his entrance. ||||
CradleFrostB1|<<Frost is in full flow, seemingly possessed by the ghost of his piratical past.>> ##Onward, ladies! No dawdling, no dallying, and no ((fannying)) about! Last one to reach the [[aeration pipe]] owes us all a full Lundelese breakfast!||||
CradleFrostB2|<<He glances at you, baring his teeth in a fierce grin.>> ##Showtime, Confessor. Break a leg. ||||
CradleBasaltC1|The others are in position, Confessor - what are you waiting for? Find [[Caxton Frost]] and help him access the Cradle's interior. ||||
CradleEmberianC1|What's taking [[Frost]] so long? We need to [[get this thing ((open))]], or it's all over!||||
CradleDuchessC1|<<The Duchess is clearly straining to maintain her powerful cipher spell.>> ##Don't... worry about ((me))... Confessor! I've faced worse odds... than ((this)).||||
CradleDuchessC2|Just find [[Frost]]... and get ((inside)) this thing! ||||
CradleFrostC1|<<Frost is once again fiddling with his handheld door-breaking device, but this time he is visibly under stress.>> ##Confessor! You've arrived in the nick of time. ((Confound)) these obstinate Emberians!||||
CradleFrostC2|I am attempting to halt this aeration turbine to afford our ingress, but it appears there is a [[fail-safe switch]] somewhere nearby; most likely on the platform beneath here.##There's an [[elevator]] down nearby. Find that switch, shut it off, and you shall have your door. ||||
CradleFrostC3|<<Behind you there is a deafening shriek of offensive magic, and a flash of blue light that briefly casts deep shadows across Frost's face. He looks worried.>> ##Quickly now, Confessor! Let's not miss our cue! ||||
CradleFrostD1R|<<Frost's eyes are screwed tightly shut, and he no longer seems to hear anything you say.>> ##The Angel... please. You have to... nrggh. Sam? Sam...||||
CradleFrostD1a|<<Frost's body lies mangled within the twisted wreckage of his clockwork armour, his fine clothes sodden with blood.>>||||
CradleFrostD1b|Ah, ((fuck)).||||
CradleFrostD2|<<Frost tries to sit up as he cries out with surprising vehemence.>> No! ##<<A coughing fit overwhelms him.>>||||
CradleFrostD3|<<He looks up at you.>> No. Don't stop for me. You must... hrrfff... reach Vela. Before it's too late.||||
CradleFrostD4|<<Frost grins weakly.>> No, I suppose you don't need a... hrff... a genius of natural philosophy... to tell you that I'm... nfff. Not long for this world.||||
CradleFrostD5|<<Frost gives you a weak but genuine grin, before coughing up blood.>> ##Hrfff. Heh. Go... go and fuck yourself, Confessor.||||
CradleFrostD6|<<He grimaces.>> Not a... bad finish for old Caxton Frost, hm? A final stand. A heroic... hrrff... downfall. Not a d-dry eye... in the house. Dramatic... hrrfff... to the last. ||||
CradleFrostD7|But... the c-curtain's not fallen yet, eh d-darling? If you can... build something better... out of all these ashes, then... nrrgh. Then it won't have been for nothing. ||||
CradleFrostD8|<<He reaches up and grips your hand tightly.>> ##Please, C-confessor. Activate the Angel. Make all this... hrrrfff... worth a damn.||||
CradleFrostD9|<<He releases your hand and slumps back, his strength failing.>> ##Oh, and... please t-tell Sam... that I'm sorry. I really d-did want... nrgh... to come back to him.||||
CradleFrostD9b|<<He slumps back, his strength failing.>> ##Oh, and... please t-tell Sam... that I'm sorry. I really d-did want... nrgh... to come back to him.||||
CradleFrostDP1|Hang in there, Frost. I'll get you back to the cutter.||||
CradleFrostDP2|I'm sorry, Frost. It doesn't look good.||||
CradleFrostDP3|You finally swore. I'm proud of you.||||
CradleFrostDP4|I'll tell him. I promise.||||
CradleFrostDP5|You can tell him yourself.||||
CradleBasaltD1|Looks like Frost has gotten that [[back door]] open. So what are you ((dallyin')) around here for? ||||
CradleBasaltD1b|Frost may be down, but we can't afford to dally. Get inside that [[pipe]] and find the [[Angel]] - for his sake!||||
CradleBasaltD1c|The Duchess may be down, but we can't afford to dally. Get inside that [[pipe]] and find the [[Angel]] - for her sake!||||
CradleBasaltD1d|Our comrades may be down, but we can't afford to dally. Get inside that [[pipe]] and find the [[Angel]] - for their sake!||||
CradleBasaltD2|<<Basalt stares at you, brows furrowed.>> Confessor...||||
CradleBasaltD3|If he's really passed, you can't ((think)) on it 'til we're done here. He knew the stakes and he chose to come anyways. Now keep your mind sharp and get back to it.||||
CradleBasaltD3b|If he's really passed as well, you can't ((think)) on it 'til we're done here. He knew the stakes and he chose to come anyways. Now keep your mind sharp and get back to it.||||
CradleBasaltD4|<<You hear Basalt mutter under his breath.>> ##Poor lad...||||
CradleBasaltD5a|Hmph, the ((Duchess)), cut down? Things... must be real hairy out there. ||||
CradleBasaltD5b|Shit, the ((Duchess)) is down too? Things... must be real hairy out there. ||||
CradleBasaltD6|But if anyone knows how to piece 'emselves back together, it'd be her. Just keep focused on the task at hand. ((Find Vela)). ||||
CradleBasaltDP1|Frost is dead.||||
CradleBasaltDP2|The Duchess is... in pieces.||||
CradleBasaltDP3|I... you're right. I'll get going.||||
CradleDuchessD1R|Do not ((tarry)), Confessor. Find... Vela. Find the [[Angel]]. That... is all that matters now.||||
CradleDuchessD1|<<The Duchess has been hacked to pieces; you see parts of her body scattered across the floor, like the remnants of some gruesome festival.>>||||
CradleDuchessD2|<<In response to your voice, a finger starts pointing wildly. You follow its gesture to a pile of bodily components, and you pull a jaw from within.>>||||
CradleDuchessD3|I'm sorry... Confessor. Couldn't... hold them all back... ||||
CradleDuchessD4|Heh. Did you... bring your needle and thread? What a... pleasing image. ##Alas, I fear there's... no time for any such thing.||||
CradleDuchessD5|You'll do no such thing! No, Confessor, you... musn't make a fuss about me. There's simply... no time.||||
CradleDuchessD6|Quite right, Confessor. You musn't... make a fuss about me. I've been... fussed over enough for... ten lifetimes.||||
CradleDuchessD7|I knew it would come to this, sooner or later. No doubt I... deserve it, after all that I've done. Perhaps it will even prove... an interesting change of pace, no?||||
CradleDuchessD8|Just... find [[Vela]], and that [[Angel]] of hers. ##Now ((go)), Confessor! ||||
CradleDuchessD9|<<For a moment you are confused to discover a ((third)) hand - until you realise that she must have brought her daughter along with her.>>||||
CradleDuchessD10|Hmm? What's... all this now? What are you doing? I... told you, there's no time to fuss! ||||
CradleDuchessD11|<<The two hands touch, and shiver in surprise. Then, after a moment's pause, their fingers intertwine.>> ||||
CradleDuchessD12|<<Never before have you heard the Duchess's voice suffused with such feeling.>> ##Oh. ((Oh.)) My... darling. My petal. I've... I've got you. I've got you.||||
CradleDuchessDP1|Duchess? Can you... hear me?||||
CradleDuchessDP2|I'm sorry, Duchess...||||
CradleDuchessDP3|Can we fix you?||||
CradleDuchessDP4|I'll send for help...||||
CradleDuchessDP5|I'm sorry, but there's no time. ||||
CradleDuchessDP6|<<[Search through the Duchess's body parts for anything that might help.]>>||||
CradleDuchessDP7|Goodbye, Duchess. Good luck.||||
CradleDuchessDP8|<<[Place her daughter's hand alongside one of hers.]>>||||
Angel1|<<As you approach the Angel a pressure builds inside your skull, until it feels like your head might split in twain. Your body shivers with a nauseating energy; somehow you know the Angel is ((inside)) you.>>||||
Angel2|<<A needle of pain gouges through your mind. Memories of your childhood, of people and places you knew, all flash before your eyes; wrenched forth by the will of this creature. Is it trying to ((understand)) you?>>||||
Angel3|<<More pain - but this time, the memories are not your own. A sensation of limitless possibility, of incomprehensible freedom and unending ((time)), envelops you.>>||||
Angel4|<<For just a fraction of a moment you understand what it means to be truly ((infinite)) - to stretch beyond the limits of this reality. You realise the Angel is trying to... ((share)) its experience with you, though much is lost in translation.>>||||
Angel5|<<A confusion of sensations flash through your mind. An Emberian vessel invading your life essence, somehow latching onto you; ((pulling)) you through layers of reality until you are small, oh so small, and trapped in this cage.>>||||
Angel5a|<<You understand, somehow, that the Angel is severely impaired in this world. The limits of time and space, the ((rules)) inherent in such a rigid existence, entrap the Angel in this corporeal form.>>||||
Angel6|<<What you know of the World Rend - scraps of history, hearsay, and a pervasive cultural dread - rises to the forefront of your mind.>>||||
Angel7|<<A note of confusion flows through you. The Angel doesn't seem to be sure. But you understand that, when it was brought here, another tried to merge with it - ((unsuccessfully)).>>||||
Angel8|<<In that moment, a simple cry of pain from either of them could have obliterated this world; just as a human could accidentally trample on a colony of insects.>> ||||
Angel9|<<Your body seethes with... ((impotence)) and impatience. Yes, you understand;  the Angel can do nothing on its own. Not in this reality, not in this ((body)): it is trapped here.>>||||
Angel10|<<It must merge with another - a sentient being from ((this)) material plane - if it is to have any agency here.>>||||
Angel11|<<It would need only be a moment, and the Angel could separate once more, peeling off from its new form and returning to the Void. ##Or it could stay, and weave a new reality within this one.>>||||
Angel12|<<You see a corpse lowered into a grave - then a baby clawing its way out of the ((other side)) of the earth, covered in blood and placenta. To merge would be to die and be born anew.>> ||||
Angel13|<<Then you see wine being poured into a strange, serpentine vessel. When the glass breaks, the wine remains, keeping the shape. To merge would also change the Angel, endowing it with all your own quirks and values.||||
Angel14|<<Flowers blossom and decay all at once. Clouds boil away and fatten and burst. A moth flaps its wings and towers fall; it flaps again and the towers have always stood proudly. Uncertainty: the Angel cannot say for sure what will become of your world.>>||||
Angel15|<<A sense of responsibility comes over you. You think this means... that ((you)) must be careful. If you merge, you will be as one; and the power you wield will be terrifying.>>||||
Angel16|<<You feel a yearning for something like home; for the expanse of the infinite Void. But a wave of anxiety hits you: there will be no going back from this decision.>>||||
Angel17|<<All the pity and despair, the tumult and the blood; the cyclical cruelty, and the pious theft. All of it will go on, alongside whatever joy the people of the Skyrealms can carve from the crooked bough of mere existence. Is that your will?>> ||||
Angel18|<<Your body is engulfed in a warm tingling that soon becomes a tearing, agonising pain. Your vision distorts, then seems to blend with your other senses; like your very consciousness is dissolving into water.>>||||
Angel19|<<The Angel is borrowing your mortal essence, so that it may leave this reality. Your last coherent thought is a desperate hope that you made the right choice.>> ||||
Angel20|<<A soothing sensation engulfs you. The Angel waits patiently.>>||||
Angel21|<<You feel a sense of opportunity; of excitement in the unknown, and of starting anew. But a surge of dread engulfs you: there will be no going back from this decision.>>||||
Angel22|<<Even if humanity survives, will we recognise ourselves? And why should you be the one who chooses for them? Are you so just, so righteous, that you should set the pattern of their existence? Are you prepared to claim that power?>> ||||
Angel23|<<Your body is engulfed in a warm tingling that soon becomes a tearing, agonising pain. Your vision distorts, then seems to blend with your other senses; like your very consciousness is dissolving into water.>>||||
Angel24|<<You are merging with the Angel, so that two become one. Your last coherent thought is a desperate hope that you made the right choice.>> ||||
Angel25|<<A soothing sensation engulfs you. The Angel waits patiently.>>||||
Angel26|<<A warmth washes over you. The Angel waits for your query.>> ||||
Angel27|<<A sensation of calm. The Angel feels no sense of urgency, it seems. If only the same were true for you.>>||||
Angel28|<<A tingling of anticipation suffuses your body. The Angel awaits your decision.>>||||
AngelP1|Get out of my ((head!))||||
AngelP2|((Clench your teeth.))||||
AngelP3|What ((are)) you?||||
AngelP4|Why are you here?||||
AngelP5|You caused the World Rend, didn't you? ||||
AngelP6|I want you to leave.||||
AngelP7|I want to use your power. ||||
AngelP7a|So... what happens now?||||
AngelP7b|Let me ask you something else.||||
AngelP8|If we merge... what would happen to ((me))?||||
AngelP9|Could this cause another World Rend?||||
AngelP10|I want to banish you back to the Void. ||||
AngelP11|I want to merge with you, and make a Heaven of my own. ||||
AngelP12a|I need to know more before I can choose.||||
AngelP12b|I still need to know more before I can choose.||||
AngelP12c|Actually, wait. I still have questions.||||
AngelP13|I need to think this over. ||||
AngelP13b|Actually, I need to think this over. ||||
AngelP14|Yes, you must return to the Void. ||||
AngelP15a|No, let me think about this.||||
AngelP15b|No, wait, let me consider this.||||
AngelP16|Yes, I will create my own Heaven.||||
AngelP17|I think I'm ready to choose.||||
underCharmHologram1|Cipher network severed: Critical memory failure: Power levels dangerously low. ||||
underCharmHologram2|FURTHER: Multiple organic anomalies detected: Reality distortion in progress. ##Additional  information restricted to Class-C citizens and above.||||
underCharmHologram3|@@Look around, machine. Everyone is dead. You want a ((classy)) person? I'm the best you're gonna get. ||||
underCharmHologram4|%%ANALYSING: Speaker's statement is correct. Population drastically reduced. Situation Critical.||||
underCharmHologram5|ADDITIONAL INFORMATION REQUEST GRANTED. ||||
underCharmHologram6|City of Albertus population decrease: Estimated 99.99%. ##Fungal growth in city limits: Critical Saturation.##ANOMALY DETECTED: Analysing. ||||
underCharmHologram7|Certain fungi contain human genetic material: Traces of cipher channelling detected: Reality is being distorted nearby.||||
underCharmHologram8|CONCLUSION: Speaker should pay special attention to the environment around humanoid fungi. All may not be as it seems. ##Ceasing communication. ||||
underCharmHologram9|&&ANALYSING: Speaker is not a citizen: Estimated Class-Z (Alien; Immigrant; Etcetera). ##Ceasing communication immediately. ||||
underCharmHologram10|This is pointless.||||
cradleCharm1|CRADLE network breached: Security protocols overwritten: Control of mechanical humanoids severed. ||||
cradleCharm2|FURTHER: Containment compromised for Prime Specimen (CODE: ANGEL): Entity is attempting to replicate. Access to CRADLE-WOMB sealed until threat nullified. ##Additional information restricted to Class-A citizens and above.||||
cradleCharm3|@@All your ((citizens)) have been dead for hundreds of years. If you want to stop this Angel Spawn, I'm your only chance.||||
cradleCharm4|((Leave)). ||||
cradleCharm5|%%ANALYSING: Class-A population count: Zero. #Class-B population count: Zero. #Class-C population count: Zero. ||||
cradleCharm6|ANALYSING: Threat level critical. Without containment: Prime Specimen replication will trigger Disaster Event Tier 0: Destruction of Reality.||||
cradleCharm7|ADDITIONAL INFORMATION REQUEST GRANTED. ||||
cradleCharm8|Prime Specimen (CODE: ANGEL) is attempting to replicate: The resulting Sub Specimen (CODE DESIGNATION: ANGELSPAWN) is located in the Power Relay Chamber. ||||
cradleCharm9|Sub Specimen (CODE: ANGELSPAWN) is capable of distorting reality: Designated CLASS-A THREAT: Use of force not advised.||||
cradleCharm10|CONCLUSION: Overloading the Power Relay Chamber may result in Sub Specimen's destruction without unnecessary conflict: Speaker should look for the FOUR (4) override terminals: high technical skill required. ##Ceasing communication.||||
cradleCharm11|&&ANALYSING: Speaker is not a citizen: Estimated Class-Z (Alien; Immigrant; Etcetera). ##Ceasing communication immediately. ||||
cradleCharm12|@@You need to reset security protocols if you want to regain control of the situation.||||
cradleCharm13|%%ANALYSING: Speaker assessment correct. Resetting security protocols. Setting speaker (CODE: SPEAKER_467e) to status: NON-THREAT. ||||
cradleCharm14|CONCLUSION:  mechanical humanoids will now attack all THREATS on sight, including those designated CODE: VELA_KICKS_ASS. ##Ceasing communication.||||
cradleCharm15|CRADLE network stable. Security protocols functioning correctly.||||
cradleCharm16|FURTHER: Containment secure for Prime Specimen (CODE: Angel).  ||||
cradleCharm17|Tell me again how to defeat this so-called ((Angel Spawn.))||||
VelaCradleAngry1|<<Vela stands over the lifeless body of her once-friend Orlaith, her sword still dripping with blood and her face twisted with fury.>> ##((You!))||||
VelaCradleAngry2|You should be ((dead)). I stuck my sword into your heart, I saw your body fall. It would have taken a ((god)) to stop you from||||
VelaCradleAngry3|<<Her eyes narrow.>> Oh, now I get it, Confessor. You really ((have)) been following in my footsteps, haven't you? ||||
p101|You... ((killed)) Orlaith?||||
VelaCradleAngry4|She attacked me; I had no ((choice)). And if it wasn't for ((you))...||||
p102|What's happened to your arm? Your ((face))?||||
VelaCradleAngry5|<<She flexes her arm, its black flesh pulsing with eldritch energy.>> ##Merely a byproduct of the ((unprecedented)) work we have been doing here. ||||
p103|Vela, let's ((talk)) about this...||||
VelaCradleAngry6|No more ((talk)), Confessor. Not after everything you've done. ||||
p104|In the name of the Inquisition, I will cut you down. ||||
VelaCradleAngry7|If a fight is what you want, I will ((gladly)) give it. ||||
VelaCradleAngry8|((You)) turned my comrades against me, forcing my hand. Their blood is on ((your)) conscience as much as my own. ||||
p105|They abandoned your cause long ago, Vela. ||||
VelaCradleAngry9|<<She scoffs.>> They were just afraid of real change. None of them tried to ((assassinate)) me until you showed up.||||
p106|Can't you just ((bring them back)) with that Angel of yours? ||||
VelaCradleAngry10|<<Vela frowns, turning her head away.>> That... would be up to ((them)), not ((I)). And Orlaith... made clear her desire to eschew my vision of Heaven. ||||
p107|If you had only let me ((help)) you... ||||
VelaCradleAngry11|<<Vela snarls.>> Oh yes! If I'd only stayed in the ((Navy)) like a good little girl. If I'd only done what I was ((told)). If, if, ((if!))||||
VelaCradleAngry12|<<She points her sword at you, Orlaith's blood still dripping from it.>> ##Get ready, Confessor. I won't let ((you)) nor the Inquisition get in the way of what comes next - for the sake of ((humanity)). ||||
VelaCradleAngry13|En garde!||||
p108|So be it.||||
p109|Don't you mean for the sake of ((Isabet)), your sister? That's what this is ((really)) about.||||
VelaCradleAngry14|<<Vela glares at you with a newfound fury.>> How ((dare)) you mention her name! You know ((nothing)) of her soul - of my ((family)).||||
VelaCradleAngry15|Isabet was... she meant more to me than... ##<<Vela closes her eyes for a long moment.>>||||
VelaCradleAngry16|Isabet and my mother ((burned alive)) in my father's mansion. That Isabet was taken so young, and I alone should live, speaks plainly of the injustice of this world. I won't ((apologise)) for wanting to change that.||||
p110|What of the people who suffered for your vision? People like Caer, who you left to ((die))? ||||
VelaCradleAngry17|<<Vela stutters, now stumbling over her words.>> Caer... ((betrayed)) me. I... I would have given my ((life)) for that girl, but she... She... ||||
VelaCradleAngry18|@@ And now here you are, surrounded by the corpses of your ((new)) family. Was it worth it? Was Orlaith's death ((just?)) ||||
VelaCradleAngry19|%% <<Vela stutters.>> I... they... They betrayed ((me!)) If only they had ((listened)), instead of... instead of... ##I didn't ((want)) to kill her. I... only meant to...||||
VelaCradleAngry20|&& <<Vela's eyes go wide with shock - then narrow into slits of pure molten fury.>> ##I gave her the chance to stand down. I would have ((forgiven)) her. A privilege I will ((not)) grant ((you)).||||
p111|Forget it. We'll finish this with our weapons. ||||
VelaCradleAngry21|<<Vela's sword drops from her hands and clatters on the floor. Tears stream from her eyes, though she betrays not a sob.>> ||||
VelaCradleAngry22|That's... what I always say, isn't it? 'I didn't want to'. 'They made me do it'. 'I had no choice'. ##<<She turns her gaze to the ceiling, blinking away tears.>> ((Damn)) you, Confessor... ||||
VelaCradleAngry23|Do you... have any ((idea)) how long ((never)) is? Never to see my sister again. Never to hear her stupid little laugh. ##Godsdamnit, all I ((ever)) wanted - <<She screws up her eyes.>>||||
VelaCradleAngry24|When I found that map it was like a fucking ((Djinn)) had answered my wish. Do you understand? Like a message from the universe, saying: maybe she died so I could save ((everyone)).||||
VelaCradleAngry25|And at every step since then, I've made the same choice. Every principle twisted. Every dead friend. The Angel could make it right. ##So my debt kept growing, and growing, until...||||
VelaCradleAngry26|<<Vela is silent for a long time. When she turns back to you it is with a despairing smile, her voice cracking with the desperate abandon of confession.>> ##I am so deep in blood that I can't even see the surface anymore.||||
VelaCradleAngry27|<<Vela gestures hopelessly at the Angel.>> So you win, Confessor, the Angel will answer to the first mortal who speaks with it. If you think me a fool, then ((destroy)) it. ||||
VelaCradleAngry28|Just... whatever you do, do it ((quickly)). Before I change my mind again. ||||
p112|Thank you, Vela. ||||
p113|((Just nod and leave.))||||
VelaCradleAngry29|<<Vela wheezes and coughs, blood dribbling from her lips.>> ##It seems... I'm not the swordswoman... I used to be.||||
VelaCradleAngry30|<<She grins weakly, showing teeth glazed in red.>> I guess it's up to ((you)) now, Confessor. The Angel... awaits.||||
VelaCradleAngry31|Just consider... what I said. You could ((use)) it... to... ((save)) this broken world... ||||
VelaCradleAngry32|<<Vela breaks into more coughing, straining to keep herself upright.>>||||
VelaCradleAngry33|What's this - ((you)) again? ||||
VelaCradleAngry34|That damned ((death god))! When I'm done with you, I will cut off its ((head))!||||
VelaCradleSad1|<<Vela cradles Orlaith in her arms as her body shakes with silent sobs, tears flowing down her cheeks.>>||||
VelaCradleSad2|<<She looks up at you with red eyes, all too human after all.>> ##So it's ((you)). Funny... I would've thought a sword through the heart would've proven more of a ((setback)). ||||
p120|I had help from a ((friend)) of yours.||||
VelaCradleSad3|I should've known you'd find ((that)) one. Quite the boon... ##<<She smiles weakly.>> Union don't know what they're missing. ||||
p121|I'm full of surprises.||||
VelaCradleSad4|Aren't you just, Confessor. ||||
